parNome,parValor
parUZTWM,79.4797
parUZFWM,77.7622
parLZTWM,101.030
parLZFPM,741.557
parLZFSM,47.9696
parADIMP,0.0352841
parPCTIM,0.0491590
parPFREE,0.683909
parUZK,0.749751
parLZPK,0.00674580
parLZSK,0.0436234
parZPERC,334.458
parREXP,3.00683
parK_HU,1.21
parN_HU,1.43
