datahora,pme_wrf,etp
2019-05-24T06:00:00+00:00,5.740,0.000
2019-05-24T12:00:00+00:00,0.910,0.719
2019-05-24T18:00:00+00:00,0.140,0.719
2019-05-25T00:00:00+00:00,0.020,0.000
2019-05-25T06:00:00+00:00,0.060,0.000
2019-05-25T12:00:00+00:00,0.000,0.971
2019-05-25T18:00:00+00:00,0.000,0.971
2019-05-26T00:00:00+00:00,0.000,0.000
2019-05-26T06:00:00+00:00,0.000,0.000
2019-05-26T12:00:00+00:00,0.000,1.067
2019-05-26T18:00:00+00:00,0.000,1.067
2019-05-27T00:00:00+00:00,0.000,0.000
2019-05-27T06:00:00+00:00,0.000,0.000
2019-05-27T12:00:00+00:00,0.000,0.854
2019-05-27T18:00:00+00:00,0.000,0.854
2019-05-28T00:00:00+00:00,0.000,0.000
2019-05-28T06:00:00+00:00,1.350,0.000
2019-05-28T12:00:00+00:00,4.390,0.852
2019-05-28T18:00:00+00:00,0.150,0.852
2019-05-29T00:00:00+00:00,0.040,0.000
2019-05-29T06:00:00+00:00,0.350,0.000
2019-05-29T12:00:00+00:00,5.500,0.887
2019-05-29T18:00:00+00:00,9.340,0.887
2019-05-30T00:00:00+00:00,0.170,0.000
2019-05-30T06:00:00+00:00,0.020,0.000
2019-05-30T12:00:00+00:00,0.000,0.802
2019-05-30T18:00:00+00:00,0.110,0.802
2019-05-31T00:00:00+00:00,0.240,0.000
