datahora,Qsac
2019-03-04T00:00:00+00:00,13.993
2019-03-04T06:00:00+00:00,18.119
2019-03-04T12:00:00+00:00,23.047
2019-03-04T18:00:00+00:00,25.360
2019-03-05T00:00:00+00:00,24.652
2019-03-05T06:00:00+00:00,22.258
2019-03-05T12:00:00+00:00,19.562
2019-03-05T18:00:00+00:00,17.301
2019-03-06T00:00:00+00:00,15.677
2019-03-06T06:00:00+00:00,14.616
2019-03-06T12:00:00+00:00,14.274
2019-03-06T18:00:00+00:00,15.659
2019-03-07T00:00:00+00:00,17.033
2019-03-07T06:00:00+00:00,17.871
2019-03-07T12:00:00+00:00,19.874
2019-03-07T18:00:00+00:00,26.474
2019-03-08T00:00:00+00:00,33.293
2019-03-08T06:00:00+00:00,35.926
2019-03-08T12:00:00+00:00,34.698
2019-03-08T18:00:00+00:00,31.278
2019-03-09T00:00:00+00:00,27.419
2019-03-09T06:00:00+00:00,26.239
2019-03-09T12:00:00+00:00,26.867
2019-03-09T18:00:00+00:00,27.481
2019-03-10T00:00:00+00:00,28.997
2019-03-10T06:00:00+00:00,29.757
2019-03-10T12:00:00+00:00,28.294
2019-03-10T18:00:00+00:00,25.387
2019-03-11T00:00:00+00:00,22.275
2019-03-11T06:00:00+00:00,20.038
2019-03-11T12:00:00+00:00,18.442
2019-03-11T18:00:00+00:00,17.061
2019-03-12T00:00:00+00:00,15.829
2019-03-12T06:00:00+00:00,14.910
2019-03-12T12:00:00+00:00,14.266
2019-03-12T18:00:00+00:00,13.797
2019-03-13T00:00:00+00:00,13.537
2019-03-13T06:00:00+00:00,13.377
2019-03-13T12:00:00+00:00,13.272
2019-03-13T18:00:00+00:00,13.238
2019-03-14T00:00:00+00:00,13.471
2019-03-14T06:00:00+00:00,13.991
2019-03-14T12:00:00+00:00,14.297
2019-03-14T18:00:00+00:00,14.219
2019-03-15T00:00:00+00:00,13.924
2019-03-15T06:00:00+00:00,13.589
2019-03-15T12:00:00+00:00,13.304
2019-03-15T18:00:00+00:00,13.428
2019-03-16T00:00:00+00:00,15.726
2019-03-16T06:00:00+00:00,20.622
2019-03-16T12:00:00+00:00,24.756
2019-03-16T18:00:00+00:00,25.912
2019-03-17T00:00:00+00:00,24.941
