datahora,pme_wrf,etp
2019-05-27T06:00:00+00:00,0.000,0.000
2019-05-27T12:00:00+00:00,0.000,0.854
2019-05-27T18:00:00+00:00,0.000,0.854
2019-05-28T00:00:00+00:00,0.000,0.000
2019-05-28T06:00:00+00:00,0.000,0.000
2019-05-28T12:00:00+00:00,0.000,0.852
2019-05-28T18:00:00+00:00,6.140,0.852
2019-05-29T00:00:00+00:00,4.510,0.000
2019-05-29T06:00:00+00:00,6.030,0.000
2019-05-29T12:00:00+00:00,0.250,0.887
2019-05-29T18:00:00+00:00,4.610,0.887
2019-05-30T00:00:00+00:00,0.600,0.000
2019-05-30T06:00:00+00:00,0.000,0.000
2019-05-30T12:00:00+00:00,0.000,0.802
2019-05-30T18:00:00+00:00,0.650,0.802
2019-05-31T00:00:00+00:00,0.190,0.000
2019-05-31T06:00:00+00:00,0.050,0.000
2019-05-31T12:00:00+00:00,0.000,0.875
2019-05-31T18:00:00+00:00,0.140,0.875
2019-06-01T00:00:00+00:00,0.070,0.000
2019-06-01T06:00:00+00:00,0.000,0.000
2019-06-01T12:00:00+00:00,0.000,0.749
2019-06-01T18:00:00+00:00,0.020,0.749
2019-06-02T00:00:00+00:00,0.000,0.000
2019-06-02T06:00:00+00:00,0.260,0.000
2019-06-02T12:00:00+00:00,11.100,0.703
2019-06-02T18:00:00+00:00,3.470,0.703
2019-06-03T00:00:00+00:00,3.920,0.000
