datahora,pme_wrf,pme_0,pme_1,pme_2,pme_3,pme_4,pme_5,pme_6,pme_7,pme_8,pme_9,pme_10,pme_11,pme_12,pme_13,pme_14,pme_15,pme_16,pme_17,pme_18,pme_19,pme_20,pme_21,pme_22,pme_23,pme_24,pme_25,pme_26,pme_27,pme_28,pme_29,pme_30,pme_31,pme_32,pme_33,pme_34,pme_35,pme_36,pme_37,pme_38,pme_39,pme_40,pme_41,pme_42,pme_43,pme_44,pme_45,pme_46,pme_47,pme_48,pme_49,pme_50,etp
2021-06-18T06:00:00+00:00,0.000,0.020,0.160,1.080,1.330,0.030,0.140,0.000,0.990,0.030,0.000,0.350,0.000,0.250,0.110,0.960,0.190,0.430,0.270,0.010,0.190,0.330,1.260,0.020,0.000,0.000,0.230,1.450,0.010,0.000,0.000,0.000,0.010,0.630,0.530,0.060,0.040,0.940,0.530,0.020,0.090,0.530,0.020,0.040,0.420,0.270,0.580,0.010,0.240,0.510,0.010,0.300,0.000
2021-06-18T12:00:00+00:00,0.000,0.530,0.280,2.530,0.500,0.900,0.200,0.260,2.180,1.290,0.080,0.920,0.440,0.240,0.550,1.090,0.490,0.330,0.060,0.570,0.920,1.080,1.690,0.060,0.840,0.030,1.320,2.340,0.000,0.540,0.050,0.010,1.090,1.030,1.490,0.030,0.130,2.060,3.590,0.270,0.710,0.790,0.090,0.060,1.000,1.080,0.220,0.780,1.050,1.040,1.150,0.920,0.836
2021-06-18T18:00:00+00:00,3.340,1.940,1.360,3.280,0.910,1.950,1.540,1.170,2.640,1.100,0.820,0.400,2.490,0.260,0.990,0.990,0.380,0.920,0.030,1.380,2.810,2.240,0.440,0.570,3.660,1.600,3.100,3.080,0.190,2.110,0.090,1.650,0.700,1.410,2.500,0.930,0.560,1.540,1.990,1.070,1.540,1.510,0.120,1.970,0.680,1.560,2.010,4.280,0.820,0.380,1.750,2.270,0.836
2021-06-19T00:00:00+00:00,5.030,0.980,0.370,2.200,0.070,0.410,0.380,0.650,0.660,0.140,0.980,1.430,0.260,1.330,0.500,2.080,1.470,0.180,1.040,1.130,0.830,0.350,2.480,0.230,0.520,0.390,0.940,1.780,1.930,0.120,4.710,0.790,0.800,0.920,2.270,0.970,0.620,1.090,0.870,0.100,0.430,0.370,2.290,0.650,1.710,0.680,0.370,0.480,1.310,2.740,1.860,0.550,0.000
2021-06-19T06:00:00+00:00,2.290,1.060,1.100,2.820,2.400,0.160,1.500,0.670,1.760,0.370,0.930,0.520,0.080,1.470,2.820,0.560,0.170,0.850,0.120,0.600,2.570,1.600,3.050,0.340,0.640,0.690,1.260,1.280,0.830,2.550,0.810,0.340,1.730,2.530,2.790,0.940,0.600,0.980,1.180,1.800,0.920,0.970,2.160,0.870,1.630,1.780,0.640,0.790,0.670,2.570,2.500,3.030,0.000
2021-06-19T12:00:00+00:00,0.410,1.980,3.020,2.350,1.690,0.600,1.570,0.410,1.910,0.850,3.310,0.810,0.970,0.730,2.050,0.370,0.480,2.410,0.980,0.340,4.350,0.550,1.070,1.010,3.630,2.910,2.440,3.220,0.920,4.610,0.350,1.310,1.660,2.240,4.340,0.730,0.730,2.470,4.250,0.470,0.600,2.220,3.200,2.030,1.170,4.140,0.610,1.500,0.790,2.940,0.780,3.360,0.766
2021-06-19T18:00:00+00:00,0.410,1.500,1.320,1.320,0.720,0.420,0.840,1.360,2.460,3.930,2.680,2.230,0.150,3.090,1.010,0.930,0.000,0.920,0.710,3.220,2.230,2.450,1.290,1.330,0.520,3.020,1.810,2.230,0.820,3.780,0.340,2.570,2.220,0.980,2.390,0.290,1.060,2.210,1.290,2.130,0.680,2.410,2.020,2.610,1.790,3.420,3.030,2.150,3.520,3.490,1.460,4.550,0.766
2021-06-20T00:00:00+00:00,8.410,1.990,0.670,1.120,2.270,1.960,2.130,2.720,2.560,5.770,2.070,2.190,2.610,1.340,0.310,1.300,1.240,0.730,7.770,2.040,2.630,6.540,0.230,1.760,2.830,3.070,3.040,1.740,3.380,3.570,1.110,2.710,3.400,3.690,4.200,1.150,1.920,1.360,2.720,2.500,1.450,1.630,0.900,3.470,3.280,3.240,3.220,2.270,4.440,3.780,1.370,2.690,0.000
2021-06-20T06:00:00+00:00,2.140,0.420,0.150,1.380,0.550,0.210,1.840,1.120,0.300,0.210,0.410,0.410,3.120,0.320,0.100,6.380,1.790,0.420,2.870,0.750,0.350,0.420,0.460,0.320,0.740,1.400,0.820,0.420,0.930,1.060,0.540,1.180,2.400,4.300,1.390,2.150,0.340,1.330,0.570,0.240,0.390,0.670,0.520,0.820,1.670,0.130,0.390,0.120,0.930,0.750,0.290,0.520,0.000
2021-06-20T12:00:00+00:00,0.090,0.060,0.040,0.010,0.070,0.040,0.100,0.010,0.050,0.060,0.050,0.040,0.000,0.000,0.050,0.520,0.050,0.090,0.020,0.000,0.040,0.050,0.010,0.040,0.020,0.000,0.020,0.180,0.050,0.070,0.040,0.070,0.010,0.130,0.030,0.110,0.020,0.160,0.040,0.050,0.070,0.080,0.070,0.050,0.050,0.000,0.020,0.080,0.040,0.040,0.010,0.040,0.747
2021-06-20T18:00:00+00:00,0.000,0.000,0.000,0.010,0.010,0.000,0.020,0.000,0.000,0.000,0.000,0.010,0.000,0.090,0.010,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.070,0.000,0.010,0.000,0.000,0.010,0.000,0.000,0.000,0.010,0.000,0.030,0.020,0.010,0.000,0.000,0.020,0.010,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.010,0.130,0.000,0.040,0.747
2021-06-21T00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000
2021-06-21T06:00:00+00:00,0.030,0.000,0.000,0.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021-06-21T12:00:00+00:00,0.030,0.000,0.000,4.550,0.000,0.000,0.000,0.000,0.030,0.000,0.000,2.790,0.060,2.730,0.000,0.000,0.000,0.000,0.010,2.580,0.040,0.060,0.010,0.000,1.190,0.000,0.380,0.240,0.020,0.250,0.040,0.000,0.080,1.130,0.120,0.700,0.440,0.000,1.950,0.750,0.000,0.000,0.000,0.290,0.000,0.950,0.720,0.000,0.170,0.660,0.020,2.980,0.840
2021-06-21T18:00:00+00:00,0.000,5.070,4.650,6.810,0.280,1.280,1.140,1.280,3.220,0.250,7.750,12.920,8.830,8.490,2.330,3.570,2.680,3.320,4.840,1.490,3.290,4.150,4.000,1.850,6.430,3.360,6.180,6.330,3.300,7.590,3.180,2.060,5.800,1.210,3.360,3.240,4.690,2.970,3.700,7.540,1.930,0.860,8.520,2.390,2.070,6.970,3.070,3.090,9.780,6.710,1.210,4.010,0.840
2021-06-22T00:00:00+00:00,0.000,8.220,10.370,9.630,1.080,7.470,1.980,7.890,4.720,8.600,9.160,14.340,13.230,9.040,3.760,8.280,5.360,4.880,7.530,9.660,5.850,9.270,5.520,5.020,10.440,13.000,5.290,4.950,6.540,5.910,7.220,6.080,3.570,2.200,3.500,5.900,6.700,3.800,4.120,17.110,12.110,7.900,1.570,8.560,3.360,5.880,0.370,5.670,5.760,13.800,1.590,7.290,0.000
