datahora,pme_wrf,etp
2019-05-26T06:00:00+00:00,0.000,0.000
2019-05-26T12:00:00+00:00,0.000,1.067
2019-05-26T18:00:00+00:00,0.000,1.067
2019-05-27T00:00:00+00:00,0.000,0.000
2019-05-27T06:00:00+00:00,0.000,0.000
2019-05-27T12:00:00+00:00,0.000,0.854
2019-05-27T18:00:00+00:00,0.000,0.854
2019-05-28T00:00:00+00:00,0.000,0.000
2019-05-28T06:00:00+00:00,0.000,0.000
2019-05-28T12:00:00+00:00,0.000,0.852
2019-05-28T18:00:00+00:00,7.390,0.852
2019-05-29T00:00:00+00:00,9.900,0.000
2019-05-29T06:00:00+00:00,6.700,0.000
2019-05-29T12:00:00+00:00,3.910,0.887
2019-05-29T18:00:00+00:00,4.070,0.887
2019-05-30T00:00:00+00:00,5.270,0.000
2019-05-30T06:00:00+00:00,0.670,0.000
2019-05-30T12:00:00+00:00,3.680,0.802
2019-05-30T18:00:00+00:00,2.400,0.802
2019-05-31T00:00:00+00:00,0.310,0.000
2019-05-31T06:00:00+00:00,0.000,0.000
2019-05-31T12:00:00+00:00,0.000,0.875
2019-05-31T18:00:00+00:00,0.130,0.875
2019-06-01T00:00:00+00:00,0.000,0.000
2019-06-01T06:00:00+00:00,0.000,0.000
2019-06-01T12:00:00+00:00,0.000,0.749
2019-06-01T18:00:00+00:00,0.750,0.749
2019-06-02T00:00:00+00:00,0.480,0.000
