datahora,pme_wrf,etp
2019-05-30T06:00:00+00:00,0.050,0.000
2019-05-30T12:00:00+00:00,3.000,0.802
2019-05-30T18:00:00+00:00,2.680,0.802
2019-05-31T00:00:00+00:00,3.990,0.000
2019-05-31T06:00:00+00:00,6.330,0.000
2019-05-31T12:00:00+00:00,0.020,0.875
2019-05-31T18:00:00+00:00,0.020,0.875
2019-06-01T00:00:00+00:00,0.360,0.000
2019-06-01T06:00:00+00:00,2.250,0.000
2019-06-01T12:00:00+00:00,9.380,0.749
2019-06-01T18:00:00+00:00,6.910,0.749
2019-06-02T00:00:00+00:00,0.280,0.000
2019-06-02T06:00:00+00:00,25.040,0.000
2019-06-02T12:00:00+00:00,22.770,0.703
2019-06-02T18:00:00+00:00,0.630,0.703
2019-06-03T00:00:00+00:00,0.990,0.000
2019-06-03T06:00:00+00:00,0.020,0.000
2019-06-03T12:00:00+00:00,0.010,0.805
2019-06-03T18:00:00+00:00,0.360,0.805
2019-06-04T00:00:00+00:00,0.080,0.000
2019-06-04T06:00:00+00:00,0.000,0.000
2019-06-04T12:00:00+00:00,0.000,0.725
2019-06-04T18:00:00+00:00,0.000,0.725
2019-06-05T00:00:00+00:00,0.000,0.000
2019-06-05T06:00:00+00:00,0.000,0.000
2019-06-05T12:00:00+00:00,0.000,0.723
2019-06-05T18:00:00+00:00,0.000,0.723
2019-06-06T00:00:00+00:00,0.000,0.000
