datahora,chuva_mm,chuva_wrf,obs_acum,wrf_acum,qsac_bru,qsac_anc,qsac_bru_novo,qsac_anc_novo,qgr5_bru,qgr5_anc
2019-05-25T00:00:00+00:00,0.000,0.000,0.000,0.000,24.553,24.239,14.165,16.017,17.747,17.438
2019-05-25T06:00:00+00:00,0.000,0.000,0.000,0.000,21.197,20.926,13.491,15.228,13.501,13.266
2019-05-25T12:00:00+00:00,0.000,0.000,0.000,0.000,16.951,16.735,12.779,14.389,11.851,11.644
2019-05-25T18:00:00+00:00,0.000,0.000,0.000,0.000,13.318,13.148,12.088,13.572,11.373,11.174
2019-05-26T00:00:00+00:00,0.000,0.000,0.000,0.000,10.731,10.594,11.446,12.812,10.946,10.755
2019-05-26T06:00:00+00:00,0.000,0.000,0.000,0.000,9.079,8.963,10.865,12.123,10.554,10.371
2019-05-26T12:00:00+00:00,0.000,0.000,0.000,0.000,8.095,7.991,10.348,11.511,10.194,10.017
2019-05-26T18:00:00+00:00,0.000,0.000,0.000,0.000,7.537,7.441,9.894,10.973,9.862,9.690
2019-05-27T00:00:00+00:00,0.000,0.000,0.000,0.000,7.199,7.107,9.499,10.504,9.553,9.387
2019-05-27T06:00:00+00:00,0.000,0.000,0.000,0.000,6.965,6.876,9.157,10.098,9.266,9.105
2019-05-27T12:00:00+00:00,0.050,0.050,0.050,0.050,6.918,6.830,8.866,9.752,9.000,8.844
2019-05-27T18:00:00+00:00,0.000,0.000,0.050,0.050,6.907,6.819,8.615,9.453,8.752,8.600
2019-05-28T00:00:00+00:00,0.000,0.000,0.050,0.050,6.896,6.808,8.398,9.196,8.520,8.372
2019-05-28T06:00:00+00:00,0.000,0.000,0.050,0.050,6.880,6.792,8.211,8.975,8.303,8.159
2019-05-28T12:00:00+00:00,0.000,0.000,0.050,0.050,6.860,6.772,8.051,8.785,8.100,7.959
2019-05-28T18:00:00+00:00,4.850,4.850,4.900,4.900,6.959,6.871,8.347,9.037,8.127,7.985
2019-05-29T00:00:00+00:00,4.530,4.530,9.430,9.430,7.758,7.659,8.866,9.562,9.075,8.917
2019-05-29T06:00:00+00:00,1.900,1.900,11.330,11.330,9.161,9.044,9.204,9.896,11.046,10.853
2019-05-29T12:00:00+00:00,0.140,0.140,11.470,11.470,10.286,10.155,9.282,10.013,11.999,11.790
2019-05-29T18:00:00+00:00,0.050,0.050,11.520,11.520,10.460,10.326,9.223,9.940,11.189,10.995
2019-05-30T00:00:00+00:00,0.000,0.000,11.520,11.520,9.849,9.723,9.020,9.723,9.896,9.723
2019-05-30T06:00:00+00:00,0.000,0.050,11.520,11.570,8.982,8.867,8.812,9.497,9.155,8.995
2019-05-30T12:00:00+00:00,0.110,3.000,11.630,14.570,8.282,8.176,8.903,9.567,8.945,8.790
2019-05-30T18:00:00+00:00,0.160,2.680,11.790,17.250,8.251,8.146,9.143,9.785,9.338,9.176
2019-05-31T00:00:00+00:00,1.160,3.990,12.950,21.240,8.939,8.824,9.700,10.330,10.348,10.168
2019-05-31T06:00:00+00:00,0.030,6.330,12.980,27.570,10.405,10.273,10.759,11.362,11.675,11.472
2019-05-31T12:00:00+00:00,0.050,0.020,13.030,27.590,12.488,12.329,11.105,11.687,13.585,13.348
2019-05-31T18:00:00+00:00,0.030,0.020,13.060,27.610,13.448,13.276,11.022,11.590,14.247,13.999
2019-06-01T00:00:00+00:00,6.440,0.360,19.500,27.970,12.739,12.576,10.696,11.243,12.478,12.260
2019-06-01T06:00:00+00:00,4.950,2.250,24.450,30.220,11.369,11.224,10.605,11.140,11.272,11.075
2019-06-01T12:00:00+00:00,2.570,9.380,27.020,39.600,10.661,10.525,11.611,12.122,11.807,11.601
2019-06-01T18:00:00+00:00,3.610,6.910,30.630,46.510,12.298,12.141,13.308,13.945,14.771,14.513
2019-06-02T00:00:00+00:00,3.170,0.280,33.800,46.790,15.609,15.409,13.741,14.426,18.538,18.215
2019-06-02T06:00:00+00:00,0.740,25.040,34.540,71.830,18.702,18.464,19.240,20.012,20.602,20.244
2019-06-02T12:00:00+00:00,9.200,22.770,43.740,94.600,26.510,26.172,28.529,29.544,28.405,27.910
2019-06-02T18:00:00+00:00,2.660,0.630,46.400,95.230,38.672,38.178,31.545,33.756,47.309,46.485
2019-06-03T00:00:00+00:00,14.510,0.990,60.910,96.220,45.947,45.360,31.071,33.699,53.013,52.090
2019-06-03T06:00:00+00:00,17.310,0.020,78.220,96.240,44.852,44.279,29.367,31.987,42.157,41.423
2019-06-03T12:00:00+00:00,0.140,0.010,78.360,96.250,38.316,37.827,27.345,29.831,34.138,33.544
2019-06-03T18:00:00+00:00,0.030,0.360,78.390,96.610,30.166,29.781,25.270,27.563,29.531,29.017
2019-06-04T00:00:00+00:00,0.000,0.080,78.390,96.690,23.083,22.788,23.281,25.373,26.772,26.306
2019-06-04T06:00:00+00:00,0.050,0.000,78.440,96.690,17.914,17.685,21.442,23.340,24.495,24.068
2019-06-04T12:00:00+00:00,0.000,0.000,78.440,96.690,14.482,14.297,19.787,21.505,22.576,22.182
2019-06-04T18:00:00+00:00,0.000,0.000,78.440,96.690,12.379,12.221,18.323,19.880,20.913,20.549
2019-06-05T00:00:00+00:00,0.000,0.000,78.440,96.690,11.181,11.038,17.043,18.457,19.479,19.140
2019-06-05T06:00:00+00:00,0.000,0.000,78.440,96.690,10.394,10.262,15.933,17.222,18.232,17.914
2019-06-05T12:00:00+00:00,0.000,0.000,78.440,96.690,9.951,9.824,14.972,16.153,17.138,16.840
2019-06-05T18:00:00+00:00,0.000,0.000,78.440,96.690,9.811,9.686,14.148,15.234,16.196,15.914
2019-06-06T00:00:00+00:00,0.000,0.000,78.440,96.690,9.744,9.620,13.445,14.451,15.362,15.095
