datahora,chuva_obs,chuva_prev,simul_sac,simul_gr5,q_obs
2019-05-21T00:00:00+00:00,0.000,,6.609,5.041,7.845
2019-05-21T06:00:00+00:00,0.000,,6.596,4.994,7.747
2019-05-21T12:00:00+00:00,0.050,,6.587,4.948,7.647
2019-05-21T18:00:00+00:00,0.000,,6.576,4.904,7.548
2019-05-22T00:00:00+00:00,0.000,,6.563,4.861,7.633
2019-05-22T06:00:00+00:00,0.000,,6.550,4.819,7.443
2019-05-22T12:00:00+00:00,0.000,,6.536,4.778,7.708
2019-05-22T18:00:00+00:00,0.000,,6.523,4.739,7.518
2019-05-23T00:00:00+00:00,0.000,,6.510,4.701,7.420
2019-05-23T06:00:00+00:00,0.000,,6.496,4.664,7.503
2019-05-23T12:00:00+00:00,1.810,,6.639,4.672,7.862
2019-05-23T18:00:00+00:00,2.580,,6.910,4.884,8.222
2019-05-24T00:00:00+00:00,15.130,,8.291,6.029,11.063
2019-05-24T06:00:00+00:00,23.040,,12.123,10.201,13.458
2019-05-24T12:00:00+00:00,0.690,,14.065,18.628,14.943
2019-05-24T18:00:00+00:00,0.080,,14.157,23.137,16.250
2019-05-25T00:00:00+00:00,0.000,,13.663,17.899,18.203
2019-05-25T06:00:00+00:00,0.000,,13.013,13.617,15.945
2019-05-25T12:00:00+00:00,0.000,,12.326,11.953,13.950
2019-05-25T18:00:00+00:00,0.000,,11.660,11.470,12.315
2019-05-26T00:00:00+00:00,0.000,,11.040,11.040,11.040
2019-05-26T06:00:00+00:00,0.000,0.000,10.480,10.645,10.222
2019-05-26T12:00:00+00:00,0.000,0.000,9.981,10.282,9.672
2019-05-26T18:00:00+00:00,0.000,0.000,9.543,9.946,9.122
2019-05-27T00:00:00+00:00,0.000,0.000,9.162,9.635,8.847
2019-05-27T06:00:00+00:00,0.000,0.000,8.832,9.346,8.747
2019-05-27T12:00:00+00:00,0.050,0.000,8.548,9.078,8.653
2019-05-27T18:00:00+00:00,0.000,0.000,8.303,8.828,8.377
2019-05-28T00:00:00+00:00,0.000,0.000,8.094,8.594,8.277
2019-05-28T06:00:00+00:00,0.000,0.000,7.914,8.375,8.183
2019-05-28T12:00:00+00:00,0.000,0.000,7.760,8.170,8.358
2019-05-28T18:00:00+00:00,4.850,7.390,8.264,8.337,8.540
2019-05-29T00:00:00+00:00,4.530,9.900,9.612,10.187,9.083
2019-05-29T06:00:00+00:00,1.900,6.700,11.410,14.552,8.898
2019-05-29T12:00:00+00:00,0.140,3.910,12.464,18.397,9.357
2019-05-29T18:00:00+00:00,0.050,4.070,13.033,19.086,9.998
2019-05-30T00:00:00+00:00,0.000,5.270,13.684,18.321,9.723
2019-05-30T06:00:00+00:00,0.000,0.670,13.777,18.582,9.815
2019-05-30T12:00:00+00:00,0.110,3.680,13.864,18.911,9.173
2019-05-30T18:00:00+00:00,0.160,2.400,13.761,18.073,8.990
2019-05-31T00:00:00+00:00,1.160,0.310,13.456,17.801,8.898
2019-05-31T06:00:00+00:00,0.030,0.000,12.942,16.882,8.618
2019-05-31T12:00:00+00:00,0.050,0.000,12.353,15.543,8.522
2019-05-31T18:00:00+00:00,0.030,0.130,11.782,14.394,8.208
2019-06-01T00:00:00+00:00,6.440,0.000,11.236,13.602,16.438
2019-06-01T06:00:00+00:00,4.950,0.000,10.780,12.986,18.587
2019-06-01T12:00:00+00:00,2.570,0.000,10.376,12.445,20.748
2019-06-01T18:00:00+00:00,3.610,0.750,10.087,11.952,20.562
2019-06-02T00:00:00+00:00,3.170,0.480,9.846,11.534,22.775
