datahora,chuva_obs,chuva_prev,simul_sac,simul_gr5,q_obs
2019-05-26T00:00:00+00:00,0.000,,12.579,11.690,11.040
2019-05-26T06:00:00+00:00,0.000,,11.904,11.254,10.222
2019-05-26T12:00:00+00:00,0.000,,11.304,10.866,9.672
2019-05-26T18:00:00+00:00,0.000,,10.777,10.499,9.122
2019-05-27T00:00:00+00:00,0.000,,10.317,10.149,8.847
2019-05-27T06:00:00+00:00,0.000,,9.920,9.834,8.747
2019-05-27T12:00:00+00:00,0.050,,9.582,9.553,8.653
2019-05-27T18:00:00+00:00,0.000,,9.289,9.283,8.377
2019-05-28T00:00:00+00:00,0.000,,9.037,9.021,8.277
2019-05-28T06:00:00+00:00,0.000,,8.821,8.784,8.183
2019-05-28T12:00:00+00:00,0.000,,8.636,8.574,8.358
2019-05-28T18:00:00+00:00,4.850,,8.909,8.599,8.540
2019-05-29T00:00:00+00:00,4.530,,9.438,9.589,9.083
2019-05-29T06:00:00+00:00,1.900,,9.777,11.666,8.898
2019-05-29T12:00:00+00:00,0.140,,9.875,12.681,9.357
2019-05-29T18:00:00+00:00,0.050,,9.805,11.836,9.998
2019-05-30T00:00:00+00:00,0.000,,9.588,10.473,9.723
2019-05-30T06:00:00+00:00,0.000,,9.362,9.689,9.815
2019-05-30T12:00:00+00:00,0.110,,9.155,9.329,9.173
2019-05-30T18:00:00+00:00,0.160,,8.971,9.076,8.990
2019-05-31T00:00:00+00:00,1.160,,8.898,8.898,8.898
2019-05-31T06:00:00+00:00,0.030,0.260,8.795,8.963,8.618
2019-05-31T12:00:00+00:00,0.050,0.000,8.654,9.122,8.522
2019-05-31T18:00:00+00:00,0.030,0.830,8.572,8.833,8.208
2019-06-01T00:00:00+00:00,6.440,0.730,8.493,8.479,16.438
2019-06-01T06:00:00+00:00,4.950,7.170,9.294,8.770,18.587
2019-06-01T12:00:00+00:00,2.570,16.990,13.075,11.448,20.748
2019-06-01T18:00:00+00:00,3.610,13.730,17.960,18.457,20.562
2019-06-02T00:00:00+00:00,3.170,9.350,21.493,27.605,22.775
2019-06-02T06:00:00+00:00,0.740,41.630,34.035,36.566,27.763
2019-06-02T12:00:00+00:00,9.200,27.090,49.599,59.738,29.240
2019-06-02T18:00:00+00:00,2.660,9.450,58.700,103.585,29.660
2019-06-03T00:00:00+00:00,14.510,3.340,60.086,114.078,36.213
2019-06-03T06:00:00+00:00,17.310,3.530,58.134,95.248,49.693
2019-06-03T12:00:00+00:00,0.140,7.280,55.681,77.736,49.118
2019-06-03T18:00:00+00:00,0.030,0.870,51.862,69.208,47.972
2019-06-04T00:00:00+00:00,0.000,0.690,47.635,62.011,44.758
2019-06-04T06:00:00+00:00,0.050,0.080,43.230,51.537,38.568
2019-06-04T12:00:00+00:00,0.000,0.000,39.152,43.869,30.277
2019-06-04T18:00:00+00:00,0.000,0.000,35.437,38.147,24.885
2019-06-05T00:00:00+00:00,0.000,0.000,32.142,33.875,21.832
2019-06-05T06:00:00+00:00,0.000,0.000,29.261,30.451,18.853
2019-06-05T12:00:00+00:00,0.000,0.000,26.760,27.651,16.872
2019-06-05T18:00:00+00:00,0.000,0.000,24.607,25.324,15.710
2019-06-06T00:00:00+00:00,0.000,0.000,22.765,23.363,14.727
2019-06-06T06:00:00+00:00,0.000,0.000,21.197,21.699,14.013
2019-06-06T12:00:00+00:00,0.000,0.000,19.862,20.292,13.663
2019-06-06T18:00:00+00:00,0.000,0.000,18.729,19.071,12.947
2019-06-07T00:00:00+00:00,0.000,0.000,17.768,18.000,12.593
