datahora,chuva_obs,chuva_prev,simul_sac,simul_gr5,q_obs
2019-05-23T00:00:00+00:00,0.000,,6.652,4.528,7.420
2019-05-23T06:00:00+00:00,0.000,,6.638,4.492,7.503
2019-05-23T12:00:00+00:00,1.810,,6.784,4.499,7.862
2019-05-23T18:00:00+00:00,2.580,,7.061,4.704,8.222
2019-05-24T00:00:00+00:00,15.130,,8.472,5.806,11.063
2019-05-24T06:00:00+00:00,23.040,,12.387,9.825,13.458
2019-05-24T12:00:00+00:00,0.690,,14.372,17.941,14.943
2019-05-24T18:00:00+00:00,0.080,,14.466,22.283,16.250
2019-05-25T00:00:00+00:00,0.000,,13.961,17.239,18.203
2019-05-25T06:00:00+00:00,0.000,,13.297,13.115,15.945
2019-05-25T12:00:00+00:00,0.000,,12.595,11.512,13.950
2019-05-25T18:00:00+00:00,0.000,,11.914,11.047,12.315
2019-05-26T00:00:00+00:00,0.000,,11.281,10.633,11.040
2019-05-26T06:00:00+00:00,0.000,,10.708,10.252,10.222
2019-05-26T12:00:00+00:00,0.000,,10.199,9.903,9.672
2019-05-26T18:00:00+00:00,0.000,,9.752,9.580,9.122
2019-05-27T00:00:00+00:00,0.000,,9.362,9.280,8.847
2019-05-27T06:00:00+00:00,0.000,,9.025,9.001,8.747
2019-05-27T12:00:00+00:00,0.050,,8.739,8.743,8.653
2019-05-27T18:00:00+00:00,0.000,,8.491,8.502,8.377
2019-05-28T00:00:00+00:00,0.000,,8.277,8.277,8.277
2019-05-28T06:00:00+00:00,0.000,0.000,8.093,8.066,8.183
2019-05-28T12:00:00+00:00,0.000,0.000,7.935,7.868,8.358
2019-05-28T18:00:00+00:00,4.850,2.130,7.987,7.750,8.540
2019-05-29T00:00:00+00:00,4.530,7.810,8.714,8.260,9.083
2019-05-29T06:00:00+00:00,1.900,5.160,9.632,10.390,8.898
2019-05-29T12:00:00+00:00,0.140,0.010,9.990,13.266,9.357
2019-05-29T18:00:00+00:00,0.050,3.420,10.336,13.480,9.998
2019-05-30T00:00:00+00:00,0.000,6.670,11.142,12.519,9.723
2019-05-30T06:00:00+00:00,0.000,1.040,11.559,13.593,9.815
2019-05-30T12:00:00+00:00,0.110,8.110,12.554,15.344,9.173
2019-05-30T18:00:00+00:00,0.160,0.490,12.835,16.060,8.990
2019-05-31T00:00:00+00:00,1.160,0.440,12.690,16.721,8.898
2019-05-31T06:00:00+00:00,0.030,0.000,12.221,14.863,8.618
2019-05-31T12:00:00+00:00,0.050,0.000,11.720,13.376,8.522
2019-05-31T18:00:00+00:00,0.030,0.020,11.217,12.396,8.208
2019-06-01T00:00:00+00:00,6.440,0.020,10.733,11.825,16.438
2019-06-01T06:00:00+00:00,4.950,0.000,10.331,11.343,18.587
2019-06-01T12:00:00+00:00,2.570,0.000,9.972,10.923,20.748
2019-06-01T18:00:00+00:00,3.610,0.440,9.695,10.531,20.562
2019-06-02T00:00:00+00:00,3.170,0.020,9.436,10.171,22.775
2019-06-02T06:00:00+00:00,0.740,0.400,9.232,9.868,27.763
2019-06-02T12:00:00+00:00,9.200,0.310,9.061,9.664,29.240
2019-06-02T18:00:00+00:00,2.660,0.000,8.888,9.483,29.660
2019-06-03T00:00:00+00:00,14.510,0.070,8.730,9.167,36.213
2019-06-03T06:00:00+00:00,17.310,0.060,8.590,8.880,49.693
2019-06-03T12:00:00+00:00,0.140,0.230,8.482,8.657,49.118
2019-06-03T18:00:00+00:00,0.030,3.680,8.698,8.605,47.972
2019-06-04T00:00:00+00:00,0.000,1.140,8.839,9.102,44.758
