datahora,chuva_obs,chuva_prev,simul_sac,simul_gr5,q_obs
2019-05-24T00:00:00+00:00,15.130,,8.807,5.982,11.063
2019-05-24T06:00:00+00:00,23.040,,12.876,10.123,13.458
2019-05-24T12:00:00+00:00,0.690,,14.938,18.485,14.943
2019-05-24T18:00:00+00:00,0.080,,15.036,22.960,16.250
2019-05-25T00:00:00+00:00,0.000,,14.512,17.763,18.203
2019-05-25T06:00:00+00:00,0.000,,13.822,13.513,15.945
2019-05-25T12:00:00+00:00,0.000,,13.092,11.861,13.950
2019-05-25T18:00:00+00:00,0.000,,12.384,11.383,12.315
2019-05-26T00:00:00+00:00,0.000,,11.726,10.956,11.040
2019-05-26T06:00:00+00:00,0.000,,11.131,10.564,10.222
2019-05-26T12:00:00+00:00,0.000,,10.601,10.203,9.672
2019-05-26T18:00:00+00:00,0.000,,10.136,9.870,9.122
2019-05-27T00:00:00+00:00,0.000,,9.731,9.561,8.847
2019-05-27T06:00:00+00:00,0.000,,9.381,9.275,8.747
2019-05-27T12:00:00+00:00,0.050,,9.083,9.008,8.653
2019-05-27T18:00:00+00:00,0.000,,8.826,8.760,8.377
2019-05-28T00:00:00+00:00,0.000,,8.603,8.528,8.277
2019-05-28T06:00:00+00:00,0.000,,8.412,8.311,8.183
2019-05-28T12:00:00+00:00,0.000,,8.248,8.107,8.358
2019-05-28T18:00:00+00:00,4.850,,8.551,8.134,8.540
2019-05-29T00:00:00+00:00,4.530,,9.083,9.083,9.083
2019-05-29T06:00:00+00:00,1.900,2.400,9.494,11.084,8.898
2019-05-29T12:00:00+00:00,0.140,3.120,9.964,12.293,9.357
2019-05-29T18:00:00+00:00,0.050,3.700,10.582,12.334,9.998
2019-05-30T00:00:00+00:00,0.000,0.070,10.693,12.276,9.723
2019-05-30T06:00:00+00:00,0.000,0.700,10.615,11.987,9.815
2019-05-30T12:00:00+00:00,0.110,5.320,11.051,11.362,9.173
2019-05-30T18:00:00+00:00,0.160,4.410,11.762,12.097,8.990
2019-05-31T00:00:00+00:00,1.160,8.850,13.345,14.349,8.898
2019-05-31T06:00:00+00:00,0.030,0.840,13.944,16.916,8.618
2019-05-31T12:00:00+00:00,0.050,0.000,13.789,18.431,8.522
2019-05-31T18:00:00+00:00,0.030,0.120,13.309,16.230,8.208
2019-06-01T00:00:00+00:00,6.440,0.000,12.713,14.082,16.438
2019-06-01T06:00:00+00:00,4.950,0.000,12.163,12.911,18.587
2019-06-01T12:00:00+00:00,2.570,0.000,11.648,12.323,20.748
2019-06-01T18:00:00+00:00,3.610,0.070,11.186,11.831,20.562
2019-06-02T00:00:00+00:00,3.170,0.000,10.769,11.382,22.775
2019-06-02T06:00:00+00:00,0.740,0.010,10.401,10.971,27.763
2019-06-02T12:00:00+00:00,9.200,1.380,10.203,10.639,29.240
2019-06-02T18:00:00+00:00,2.660,0.430,10.010,10.467,29.660
2019-06-03T00:00:00+00:00,14.510,0.130,9.796,10.340,36.213
2019-06-03T06:00:00+00:00,17.310,0.080,9.586,9.983,49.693
2019-06-03T12:00:00+00:00,0.140,0.010,9.388,9.657,49.118
2019-06-03T18:00:00+00:00,0.030,0.020,9.209,9.357,47.972
2019-06-04T00:00:00+00:00,0.000,0.010,9.049,9.075,44.758
2019-06-04T06:00:00+00:00,0.050,0.000,8.906,8.822,38.568
2019-06-04T12:00:00+00:00,0.000,0.000,8.780,8.598,30.277
2019-06-04T18:00:00+00:00,0.000,0.020,8.672,8.389,24.885
2019-06-05T00:00:00+00:00,0.000,0.010,8.576,8.193,21.832
