datahora,chuva_obs,chuva_prev,simul_sac,simul_gr5,q_obs
2019-05-25T00:00:00+00:00,0.000,,16.017,17.438,18.203
2019-05-25T06:00:00+00:00,0.000,,15.228,13.266,15.945
2019-05-25T12:00:00+00:00,0.000,,14.389,11.644,13.950
2019-05-25T18:00:00+00:00,0.000,,13.572,11.174,12.315
2019-05-26T00:00:00+00:00,0.000,,12.812,10.755,11.040
2019-05-26T06:00:00+00:00,0.000,,12.123,10.371,10.222
2019-05-26T12:00:00+00:00,0.000,,11.511,10.017,9.672
2019-05-26T18:00:00+00:00,0.000,,10.973,9.690,9.122
2019-05-27T00:00:00+00:00,0.000,,10.504,9.387,8.847
2019-05-27T06:00:00+00:00,0.000,,10.098,9.105,8.747
2019-05-27T12:00:00+00:00,0.050,,9.752,8.844,8.653
2019-05-27T18:00:00+00:00,0.000,,9.453,8.600,8.377
2019-05-28T00:00:00+00:00,0.000,,9.196,8.372,8.277
2019-05-28T06:00:00+00:00,0.000,,8.975,8.159,8.183
2019-05-28T12:00:00+00:00,0.000,,8.785,7.959,8.358
2019-05-28T18:00:00+00:00,4.850,,9.037,7.985,8.540
2019-05-29T00:00:00+00:00,4.530,,9.562,8.917,9.083
2019-05-29T06:00:00+00:00,1.900,,9.896,10.853,8.898
2019-05-29T12:00:00+00:00,0.140,,10.013,11.790,9.357
2019-05-29T18:00:00+00:00,0.050,,9.940,10.995,9.998
2019-05-30T00:00:00+00:00,0.000,,9.723,9.723,9.723
2019-05-30T06:00:00+00:00,0.000,0.050,9.497,8.995,9.815
2019-05-30T12:00:00+00:00,0.110,3.000,9.567,8.790,9.173
2019-05-30T18:00:00+00:00,0.160,2.680,9.785,9.176,8.990
2019-05-31T00:00:00+00:00,1.160,3.990,10.330,10.168,8.898
2019-05-31T06:00:00+00:00,0.030,6.330,11.362,11.472,8.618
2019-05-31T12:00:00+00:00,0.050,0.020,11.687,13.348,8.522
2019-05-31T18:00:00+00:00,0.030,0.020,11.590,13.999,8.208
2019-06-01T00:00:00+00:00,6.440,0.360,11.243,12.260,16.438
2019-06-01T06:00:00+00:00,4.950,2.250,11.140,11.075,18.587
2019-06-01T12:00:00+00:00,2.570,9.380,12.122,11.601,20.748
2019-06-01T18:00:00+00:00,3.610,6.910,13.945,14.513,20.562
2019-06-02T00:00:00+00:00,3.170,0.280,14.426,18.215,22.775
2019-06-02T06:00:00+00:00,0.740,25.040,20.012,20.244,27.763
2019-06-02T12:00:00+00:00,9.200,22.770,29.544,27.910,29.240
2019-06-02T18:00:00+00:00,2.660,0.630,33.756,46.485,29.660
2019-06-03T00:00:00+00:00,14.510,0.990,33.699,52.090,36.213
2019-06-03T06:00:00+00:00,17.310,0.020,31.987,41.423,49.693
2019-06-03T12:00:00+00:00,0.140,0.010,29.831,33.544,49.118
2019-06-03T18:00:00+00:00,0.030,0.360,27.563,29.017,47.972
2019-06-04T00:00:00+00:00,0.000,0.080,25.373,26.306,44.758
2019-06-04T06:00:00+00:00,0.050,0.000,23.340,24.068,38.568
2019-06-04T12:00:00+00:00,0.000,0.000,21.505,22.182,30.277
2019-06-04T18:00:00+00:00,0.000,0.000,19.880,20.549,24.885
2019-06-05T00:00:00+00:00,0.000,0.000,18.457,19.140,21.832
2019-06-05T06:00:00+00:00,0.000,0.000,17.222,17.914,18.853
2019-06-05T12:00:00+00:00,0.000,0.000,16.153,16.840,16.872
2019-06-05T18:00:00+00:00,0.000,0.000,15.234,15.914,15.710
2019-06-06T00:00:00+00:00,0.000,0.000,14.451,15.095,14.727
