datahora,Qsac_0,Qsac_1,Qsac_2,Qsac_3,Qsac_4,Qsac_5,Qsac_6,Qsac_7,Qsac_8,Qsac_9,Qsac_10,Qsac_11,Qsac_12,Qsac_13,Qsac_14,Qsac_15,Qsac_16,Qsac_17,Qsac_18,Qsac_19,Qsac_20,Qsac_21,Qsac_22,Qsac_23,Qsac_24,Qsac_25,Qsac_26,Qsac_27,Qsac_28,Qsac_29,Qsac_30,Qsac_31,Qsac_32,Qsac_33,Qsac_34,Qsac_35,Qsac_36,Qsac_37,Qsac_38,Qsac_39,Qsac_40,Qsac_41,Qsac_42,Qsac_43,Qsac_44,Qsac_45,Qsac_46,Qsac_47,Qsac_48,Qsac_49,Qsac_50,Qmed,Q25,Q75,Qmax,Qmin,Qsac_wrf
2021-07-09T00:00:00+00:00,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100
2021-07-09T06:00:00+00:00,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074,4.074
2021-07-09T12:00:00+00:00,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040,4.040
2021-07-09T18:00:00+00:00,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007,4.007
2021-07-10T00:00:00+00:00,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975
2021-07-10T06:00:00+00:00,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945,3.945
2021-07-10T12:00:00+00:00,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.918,3.917,3.918,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.918,3.917,3.918,3.917,3.918,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.918,3.917,3.917,3.917,3.917,3.917,3.918,3.917,3.917
2021-07-10T18:00:00+00:00,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.894,3.892,3.894,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.894,3.892,3.894,3.892,3.894,3.892,3.892,3.892,3.892,3.892,3.892,3.892,3.894,3.892,3.892,3.892,3.892,3.892,3.894,3.892,3.892
2021-07-11T00:00:00+00:00,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.871,3.870,3.871,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.871,3.870,3.871,3.870,3.871,3.870,3.870,3.870,3.870,3.870,3.870,3.870,3.871,3.870,3.870,3.870,3.870,3.870,3.871,3.870,3.870
2021-07-11T06:00:00+00:00,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.850,3.849,3.850,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.850,3.849,3.850,3.849,3.850,3.849,3.849,3.849,3.849,3.849,3.849,3.849,3.850,3.849,3.849,3.849,3.849,3.849,3.850,3.849,3.849
2021-07-11T12:00:00+00:00,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.831,3.830,3.831,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.831,3.830,3.831,3.830,3.831,3.830,3.830,3.830,3.830,3.830,3.830,3.830,3.831,3.830,3.830,3.830,3.830,3.830,3.831,3.830,3.830
