datahora,Qgr5
2019-03-05T00:00:00+00:00,85.136
2019-03-05T06:00:00+00:00,67.045
2019-03-05T12:00:00+00:00,55.330
2019-03-05T18:00:00+00:00,46.938
2019-03-06T00:00:00+00:00,40.676
2019-03-06T06:00:00+00:00,35.845
2019-03-06T12:00:00+00:00,33.103
2019-03-06T18:00:00+00:00,35.459
2019-03-07T00:00:00+00:00,39.008
2019-03-07T06:00:00+00:00,37.120
2019-03-07T12:00:00+00:00,43.261
2019-03-07T18:00:00+00:00,62.864
2019-03-08T00:00:00+00:00,78.434
2019-03-08T06:00:00+00:00,64.307
2019-03-08T12:00:00+00:00,53.723
2019-03-08T18:00:00+00:00,46.645
2019-03-09T00:00:00+00:00,42.144
2019-03-09T06:00:00+00:00,45.904
2019-03-09T12:00:00+00:00,52.718
2019-03-09T18:00:00+00:00,48.562
2019-03-10T00:00:00+00:00,47.424
2019-03-10T06:00:00+00:00,48.435
2019-03-10T12:00:00+00:00,41.212
2019-03-10T18:00:00+00:00,35.178
2019-03-11T00:00:00+00:00,31.611
2019-03-11T06:00:00+00:00,30.882
2019-03-11T12:00:00+00:00,30.630
2019-03-11T18:00:00+00:00,27.626
2019-03-12T00:00:00+00:00,24.926
2019-03-12T06:00:00+00:00,22.943
2019-03-12T12:00:00+00:00,21.460
2019-03-12T18:00:00+00:00,20.176
2019-03-13T00:00:00+00:00,19.050
2019-03-13T06:00:00+00:00,18.057
2019-03-13T12:00:00+00:00,17.180
2019-03-13T18:00:00+00:00,16.398
2019-03-14T00:00:00+00:00,15.929
2019-03-14T06:00:00+00:00,16.260
2019-03-14T12:00:00+00:00,16.738
2019-03-14T18:00:00+00:00,15.735
2019-03-15T00:00:00+00:00,14.719
2019-03-15T06:00:00+00:00,14.021
2019-03-15T12:00:00+00:00,13.538
2019-03-15T18:00:00+00:00,14.108
2019-03-16T00:00:00+00:00,19.237
2019-03-16T06:00:00+00:00,29.824
2019-03-16T12:00:00+00:00,33.861
2019-03-16T18:00:00+00:00,28.147
2019-03-17T00:00:00+00:00,24.064
2019-03-17T06:00:00+00:00,23.223
2019-03-17T12:00:00+00:00,22.990
2019-03-17T18:00:00+00:00,21.160
2019-03-18T00:00:00+00:00,20.022
2019-03-18T06:00:00+00:00,20.938
2019-03-18T12:00:00+00:00,22.358
2019-03-18T18:00:00+00:00,20.572
2019-03-19T00:00:00+00:00,18.681
2019-03-19T06:00:00+00:00,17.422
2019-03-19T12:00:00+00:00,16.604
2019-03-19T18:00:00+00:00,15.886
2019-03-20T00:00:00+00:00,15.958
2019-03-20T06:00:00+00:00,18.411
2019-03-20T12:00:00+00:00,21.347
2019-03-20T18:00:00+00:00,19.363
2019-03-21T00:00:00+00:00,18.713
2019-03-21T06:00:00+00:00,24.078
2019-03-21T12:00:00+00:00,31.236
2019-03-21T18:00:00+00:00,27.154
2019-03-22T00:00:00+00:00,22.898
2019-03-22T06:00:00+00:00,20.536
2019-03-22T12:00:00+00:00,19.381
2019-03-22T18:00:00+00:00,18.352
2019-03-23T00:00:00+00:00,17.437
2019-03-23T06:00:00+00:00,16.627
2019-03-23T12:00:00+00:00,15.906
2019-03-23T18:00:00+00:00,15.258
2019-03-24T00:00:00+00:00,14.669
2019-03-24T06:00:00+00:00,14.134
2019-03-24T12:00:00+00:00,13.649
2019-03-24T18:00:00+00:00,13.204
2019-03-25T00:00:00+00:00,12.793
2019-03-25T06:00:00+00:00,12.413
2019-03-25T12:00:00+00:00,12.065
2019-03-25T18:00:00+00:00,11.742
2019-03-26T00:00:00+00:00,11.444
2019-03-26T06:00:00+00:00,11.177
2019-03-26T12:00:00+00:00,10.934
2019-03-26T18:00:00+00:00,10.681
2019-03-27T00:00:00+00:00,10.440
2019-03-27T06:00:00+00:00,10.219
2019-03-27T12:00:00+00:00,10.016
2019-03-27T18:00:00+00:00,9.825
2019-03-28T00:00:00+00:00,9.642
2019-03-28T06:00:00+00:00,9.470
2019-03-28T12:00:00+00:00,9.308
2019-03-28T18:00:00+00:00,9.155
2019-03-29T00:00:00+00:00,9.008
2019-03-29T06:00:00+00:00,8.868
2019-03-29T12:00:00+00:00,8.737
2019-03-29T18:00:00+00:00,8.612
2019-03-30T00:00:00+00:00,8.490
2019-03-30T06:00:00+00:00,8.374
2019-03-30T12:00:00+00:00,8.265
2019-03-30T18:00:00+00:00,8.160
2019-03-31T00:00:00+00:00,8.058
2019-03-31T06:00:00+00:00,7.959
2019-03-31T12:00:00+00:00,7.867
2019-03-31T18:00:00+00:00,7.778
2019-04-01T00:00:00+00:00,7.690
2019-04-01T06:00:00+00:00,7.606
2019-04-01T12:00:00+00:00,7.526
2019-04-01T18:00:00+00:00,7.450
2019-04-02T00:00:00+00:00,7.373
2019-04-02T06:00:00+00:00,7.299
2019-04-02T12:00:00+00:00,7.229
2019-04-02T18:00:00+00:00,7.162
2019-04-03T00:00:00+00:00,7.096
2019-04-03T06:00:00+00:00,7.031
2019-04-03T12:00:00+00:00,6.970
2019-04-03T18:00:00+00:00,6.911
2019-04-04T00:00:00+00:00,6.852
2019-04-04T06:00:00+00:00,6.795
2019-04-04T12:00:00+00:00,6.741
2019-04-04T18:00:00+00:00,6.688
2019-04-05T00:00:00+00:00,6.636
2019-04-05T06:00:00+00:00,6.584
2019-04-05T12:00:00+00:00,6.536
2019-04-05T18:00:00+00:00,6.488
2019-04-06T00:00:00+00:00,6.459
2019-04-06T06:00:00+00:00,6.493
2019-04-06T12:00:00+00:00,6.563
2019-04-06T18:00:00+00:00,6.514
2019-04-07T00:00:00+00:00,6.408
2019-04-07T06:00:00+00:00,6.349
2019-04-07T12:00:00+00:00,6.445
2019-04-07T18:00:00+00:00,6.861
2019-04-08T00:00:00+00:00,7.340
2019-04-08T06:00:00+00:00,7.016
2019-04-08T12:00:00+00:00,6.664
2019-04-08T18:00:00+00:00,6.490
2019-04-09T00:00:00+00:00,6.431
2019-04-09T06:00:00+00:00,6.377
2019-04-09T12:00:00+00:00,6.328
2019-04-09T18:00:00+00:00,6.281
2019-04-10T00:00:00+00:00,6.253
2019-04-10T06:00:00+00:00,6.285
2019-04-10T12:00:00+00:00,6.329
2019-04-10T18:00:00+00:00,6.238
2019-04-11T00:00:00+00:00,6.141
2019-04-11T06:00:00+00:00,6.076
2019-04-11T12:00:00+00:00,6.033
2019-04-11T18:00:00+00:00,5.992
2019-04-12T00:00:00+00:00,5.950
2019-04-12T06:00:00+00:00,5.909
2019-04-12T12:00:00+00:00,5.870
2019-04-12T18:00:00+00:00,5.833
2019-04-13T00:00:00+00:00,5.795
2019-04-13T06:00:00+00:00,5.757
2019-04-13T12:00:00+00:00,5.722
2019-04-13T18:00:00+00:00,5.688
2019-04-14T00:00:00+00:00,5.653
2019-04-14T06:00:00+00:00,5.633
2019-04-14T12:00:00+00:00,5.661
2019-04-14T18:00:00+00:00,5.698
2019-04-15T00:00:00+00:00,5.627
2019-04-15T06:00:00+00:00,5.553
2019-04-15T12:00:00+00:00,5.505
2019-04-15T18:00:00+00:00,5.474
2019-04-16T00:00:00+00:00,5.443
2019-04-16T06:00:00+00:00,5.412
2019-04-16T12:00:00+00:00,5.382
2019-04-16T18:00:00+00:00,5.354
2019-04-17T00:00:00+00:00,5.458
2019-04-17T06:00:00+00:00,5.966
2019-04-17T12:00:00+00:00,6.572
2019-04-17T18:00:00+00:00,6.245
2019-04-18T00:00:00+00:00,5.821
2019-04-18T06:00:00+00:00,5.620
2019-04-18T12:00:00+00:00,5.572
2019-04-18T18:00:00+00:00,5.533
2019-04-19T00:00:00+00:00,5.495
2019-04-19T06:00:00+00:00,5.457
2019-04-19T12:00:00+00:00,5.422
2019-04-19T18:00:00+00:00,5.387
2019-04-20T00:00:00+00:00,5.352
2019-04-20T06:00:00+00:00,5.317
2019-04-20T12:00:00+00:00,5.285
2019-04-20T18:00:00+00:00,5.253
2019-04-21T00:00:00+00:00,5.220
2019-04-21T06:00:00+00:00,5.189
2019-04-21T12:00:00+00:00,5.159
2019-04-21T18:00:00+00:00,5.130
2019-04-22T00:00:00+00:00,5.100
2019-04-22T06:00:00+00:00,5.071
2019-04-22T12:00:00+00:00,5.044
2019-04-22T18:00:00+00:00,5.017
2019-04-23T00:00:00+00:00,4.991
2019-04-23T06:00:00+00:00,4.970
2019-04-23T12:00:00+00:00,4.951
2019-04-23T18:00:00+00:00,4.923
2019-04-24T00:00:00+00:00,4.893
2019-04-24T06:00:00+00:00,4.867
2019-04-24T12:00:00+00:00,4.843
2019-04-24T18:00:00+00:00,4.819
2019-04-25T00:00:00+00:00,4.796
2019-04-25T06:00:00+00:00,4.772
2019-04-25T12:00:00+00:00,4.750
2019-04-25T18:00:00+00:00,4.728
2019-04-26T00:00:00+00:00,4.731
2019-04-26T06:00:00+00:00,4.806
2019-04-26T12:00:00+00:00,4.896
2019-04-26T18:00:00+00:00,4.812
2019-04-27T00:00:00+00:00,4.864
2019-04-27T06:00:00+00:00,5.391
2019-04-27T12:00:00+00:00,6.032
2019-04-27T18:00:00+00:00,5.644
2019-04-28T00:00:00+00:00,5.463
2019-04-28T06:00:00+00:00,6.359
2019-04-28T12:00:00+00:00,7.954
2019-04-28T18:00:00+00:00,10.730
2019-04-29T00:00:00+00:00,21.446
2019-04-29T06:00:00+00:00,34.223
2019-04-29T12:00:00+00:00,27.316
2019-04-29T18:00:00+00:00,20.346
2019-04-30T00:00:00+00:00,17.171
2019-04-30T06:00:00+00:00,16.185
2019-04-30T12:00:00+00:00,15.342
2019-04-30T18:00:00+00:00,14.590
2019-05-01T00:00:00+00:00,13.913
2019-05-01T06:00:00+00:00,13.302
2019-05-01T12:00:00+00:00,12.750
2019-05-01T18:00:00+00:00,12.248
2019-05-02T00:00:00+00:00,11.789
2019-05-02T06:00:00+00:00,11.367
