datahora,Qsac_0,Qsac_1,Qsac_2,Qsac_3,Qsac_4,Qsac_5,Qsac_6,Qsac_7,Qsac_8,Qsac_9,Qsac_10,Qsac_11,Qsac_12,Qsac_13,Qsac_14,Qsac_15,Qsac_16,Qsac_17,Qsac_18,Qsac_19,Qsac_20,Qsac_21,Qsac_22,Qsac_23,Qsac_24,Qsac_25,Qsac_26,Qsac_27,Qsac_28,Qsac_29,Qsac_30,Qsac_31,Qsac_32,Qsac_33,Qsac_34,Qsac_35,Qsac_36,Qsac_37,Qsac_38,Qsac_39,Qsac_40,Qsac_41,Qsac_42,Qsac_43,Qsac_44,Qsac_45,Qsac_46,Qsac_47,Qsac_48,Qsac_49,Qsac_50,Qmed,Q25,Q75,Qmax,Qmin,Qsac_wrf
2021-07-16T00:00:00+00:00,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570
2021-07-16T06:00:00+00:00,3.587,3.579,3.646,3.588,3.652,3.724,3.664,3.646,3.622,3.669,3.634,3.673,3.627,3.644,3.830,3.654,3.606,3.617,3.566,3.622,3.612,3.601,3.646,3.634,3.629,3.691,3.574,3.586,3.563,3.564,3.691,3.667,3.660,3.577,3.581,3.711,3.626,3.595,3.571,3.583,3.568,3.594,3.605,3.693,3.646,3.644,3.661,3.614,3.616,3.592,3.621,3.622,3.591,3.652,3.830,3.563,3.557
2021-07-16T12:00:00+00:00,3.721,3.660,3.799,3.664,3.966,4.036,4.002,3.830,3.850,4.021,3.835,3.763,4.063,3.887,4.351,4.010,3.831,3.715,3.724,3.819,3.649,3.754,3.695,4.138,3.871,3.953,3.615,3.877,3.686,3.700,3.847,3.770,4.182,3.700,3.587,3.841,4.014,3.669,3.685,3.583,3.725,3.638,3.747,3.763,3.692,4.000,3.845,3.616,3.746,3.643,3.773,3.770,3.694,3.877,4.351,3.583,3.537
2021-07-16T18:00:00+00:00,4.474,3.953,4.341,4.797,5.149,4.804,4.657,4.405,5.109,5.061,5.127,4.744,4.910,4.615,5.262,4.971,4.600,4.566,4.596,5.405,4.048,4.752,4.172,5.667,4.319,4.885,4.437,5.160,4.618,4.836,4.625,4.777,5.907,4.507,4.326,4.450,5.641,4.273,4.927,3.915,4.537,4.615,4.435,3.997,4.303,4.982,4.130,4.140,4.282,4.144,4.284,4.615,4.324,4.910,5.907,3.915,3.660
2021-07-17T00:00:00+00:00,5.427,4.881,5.192,7.182,7.023,5.949,5.687,4.970,10.285,7.401,7.396,6.037,5.961,5.920,6.712,5.997,5.593,5.670,5.389,7.542,4.444,6.798,4.730,10.252,5.484,6.869,5.442,6.972,6.574,6.041,5.458,5.474,7.956,5.055,6.528,5.095,8.101,5.217,7.872,4.242,5.591,6.039,5.185,4.704,5.611,5.877,4.631,5.304,5.058,5.017,4.696,5.670,5.191,6.712,10.285,4.242,3.862
2021-07-17T06:00:00+00:00,6.269,6.340,5.505,9.375,8.468,6.873,6.251,6.607,13.911,10.302,9.454,7.038,7.461,7.698,8.966,6.891,6.629,6.842,5.834,9.505,4.916,8.734,5.521,16.311,6.620,8.781,6.678,8.559,7.898,7.545,6.966,6.110,9.493,5.726,9.371,5.548,10.399,6.539,9.977,4.566,6.183,7.203,6.146,5.509,6.800,6.818,5.184,7.780,6.296,5.576,5.030,6.842,6.173,8.559,16.311,4.566,4.073
2021-07-17T12:00:00+00:00,6.915,7.177,5.500,10.194,9.277,7.431,6.473,8.144,15.088,11.807,10.462,8.829,8.951,8.870,10.396,7.510,7.102,7.533,6.013,10.781,5.170,9.901,6.259,20.596,7.245,10.205,7.533,9.544,8.435,8.841,8.329,7.085,10.244,6.446,10.824,6.108,11.202,7.255,11.370,5.132,6.523,8.473,7.007,5.832,7.831,7.902,5.430,9.755,6.990,5.683,5.347,7.831,6.817,9.755,20.596,5.132,4.110
2021-07-17T18:00:00+00:00,7.076,7.323,5.437,10.120,9.543,7.452,6.778,8.590,14.911,12.431,10.538,9.842,9.300,9.069,10.587,7.556,7.146,7.607,6.102,11.195,5.169,10.254,6.532,21.512,7.281,10.530,7.671,9.622,8.612,9.144,8.666,7.535,10.138,6.708,10.941,6.256,11.270,7.424,11.693,5.315,6.588,9.030,7.304,5.891,8.066,8.130,5.375,10.211,7.158,5.638,5.440,8.066,7.001,10.120,21.512,5.169,4.117
2021-07-18T00:00:00+00:00,6.980,7.117,5.300,9.678,9.324,7.210,6.698,8.488,14.191,12.223,10.154,9.801,9.080,8.821,10.228,7.335,6.885,7.361,6.000,11.007,5.042,10.050,6.540,20.852,7.031,10.264,7.473,9.279,8.417,8.971,8.519,7.454,9.662,6.597,10.521,6.228,10.817,7.233,11.402,5.228,6.443,8.997,7.185,5.750,7.869,7.918,5.198,10.004,6.973,5.487,5.328,7.869,6.838,9.678,20.852,5.042,4.062
2021-07-18T06:00:00+00:00,6.655,6.757,5.091,9.074,8.877,6.824,6.504,8.076,13.201,11.594,9.550,9.363,8.577,8.355,9.616,6.943,6.530,6.968,5.765,10.467,4.861,9.556,6.272,19.479,6.661,9.675,7.104,8.733,8.029,8.509,8.091,7.110,9.047,6.296,9.879,5.954,10.179,6.878,10.746,5.050,6.147,8.626,6.851,5.507,7.461,7.494,4.984,9.460,6.632,5.272,5.128,7.461,6.524,9.074,19.479,4.861,3.976
2021-07-18T12:00:00+00:00,6.304,6.376,4.865,8.457,8.326,6.428,6.177,7.610,12.182,10.808,8.909,8.788,8.034,7.843,8.966,6.537,6.163,6.573,5.501,9.796,4.679,8.953,5.954,17.924,6.281,9.038,6.706,8.160,7.546,7.998,7.617,6.714,8.428,5.966,9.201,5.654,9.467,6.498,10.022,4.845,5.834,8.128,6.480,5.247,7.019,7.045,4.766,8.854,6.268,5.050,4.907,7.019,6.174,8.457,17.924,4.679,3.884
2021-07-18T18:00:00+00:00,5.945,6.007,4.646,7.870,7.768,6.050,5.838,7.129,11.189,10.009,8.282,8.199,7.502,7.330,8.336,6.149,5.811,6.187,5.223,9.097,4.494,8.335,5.633,16.344,5.918,8.405,6.306,7.609,7.063,7.473,7.132,6.318,7.843,5.641,8.544,5.360,8.781,6.118,9.291,4.640,5.519,7.600,6.106,4.991,6.587,6.611,4.558,8.245,5.910,4.821,4.689,6.587,5.831,7.870,16.344,4.494,3.796
2021-07-19T00:00:00+00:00,5.611,5.664,4.444,7.331,7.247,5.702,5.518,6.675,10.274,9.258,7.703,7.639,7.008,6.852,7.752,5.792,5.487,5.827,4.963,8.442,4.318,7.756,5.332,14.862,5.584,7.816,5.933,7.100,6.613,6.983,6.677,5.947,7.309,5.337,7.935,5.085,8.149,5.764,8.610,4.446,5.227,7.101,5.756,4.752,6.186,6.209,4.368,7.672,5.577,4.604,4.485,6.186,5.511,7.331,14.862,4.318,3.713
2021-07-19T06:00:00+00:00,5.307,5.355,4.263,6.847,6.776,5.391,5.228,6.261,9.453,8.574,7.181,7.127,6.560,6.419,7.226,5.471,5.196,5.503,4.728,7.845,4.158,7.229,5.057,13.514,5.285,7.282,5.596,6.642,6.206,6.537,6.263,5.610,6.831,5.062,7.386,4.837,7.581,5.444,7.993,4.269,4.964,6.644,5.437,4.537,5.822,5.845,4.197,7.152,5.276,4.406,4.300,5.822,5.220,6.847,13.514,4.158,3.638
2021-07-19T12:00:00+00:00,5.038,5.080,4.102,6.420,6.356,5.115,4.968,5.890,8.728,7.965,6.719,6.667,6.162,6.035,6.759,5.187,4.939,5.215,4.519,7.314,4.015,6.761,4.811,12.315,5.020,6.808,5.296,6.237,5.845,6.140,5.894,5.309,6.410,4.817,6.899,4.616,7.078,5.159,7.445,4.111,4.731,6.236,5.153,4.345,5.499,5.523,4.046,6.687,5.008,4.229,4.136,5.499,4.961,6.420,12.315,4.015,3.571
2021-07-19T18:00:00+00:00,4.801,4.839,3.961,6.048,5.988,4.875,4.740,5.564,8.094,7.428,6.314,6.262,5.812,5.697,6.350,4.939,4.714,4.962,4.336,6.847,3.889,6.349,4.595,11.261,4.788,6.392,5.032,5.882,5.528,5.791,5.569,5.044,6.044,4.601,6.472,4.422,6.639,4.909,6.964,3.971,4.526,5.876,4.904,4.177,5.215,5.241,3.914,6.278,4.774,4.074,3.991,5.215,4.733,6.048,11.261,3.889,3.512
2021-07-20T00:00:00+00:00,4.595,4.629,3.839,5.724,5.668,4.666,4.541,5.280,7.545,6.961,5.963,5.908,5.508,5.403,5.994,4.724,4.518,4.743,4.176,6.441,3.779,5.990,4.406,10.344,4.587,6.030,4.803,5.574,5.252,5.487,5.286,4.814,5.726,4.414,6.101,4.252,6.258,4.692,6.546,3.849,4.348,5.562,4.686,4.031,4.968,4.996,3.799,5.922,4.569,3.939,3.865,4.968,4.535,5.726,10.344,3.779,3.460
2021-07-20T06:00:00+00:00,4.416,4.448,3.733,5.446,5.392,4.486,4.368,5.034,7.072,6.557,5.660,5.602,5.246,5.149,5.688,4.538,4.350,4.554,4.038,6.089,3.683,5.681,4.243,9.553,4.413,5.718,4.605,5.308,5.014,5.225,5.041,4.614,5.452,4.251,5.781,4.106,5.929,4.504,6.185,3.743,4.194,5.290,4.498,3.904,4.755,4.784,3.699,5.614,4.393,3.821,3.756,4.755,4.364,5.452,9.553,3.683,3.414
2021-07-20T12:00:00+00:00,4.263,4.292,3.642,5.207,5.154,4.331,4.220,4.821,6.666,6.210,5.400,5.337,5.020,4.931,5.424,4.378,4.205,4.391,3.919,5.787,3.600,5.414,4.102,8.874,4.264,5.450,4.435,5.080,4.809,4.999,4.831,4.443,5.218,4.111,5.506,3.980,5.647,4.342,5.875,3.651,4.062,5.056,4.336,3.795,4.571,4.601,3.613,5.349,4.241,3.720,3.661,4.571,4.216,5.218,8.874,3.600,3.375
2021-07-20T18:00:00+00:00,4.131,4.158,3.564,5.002,4.951,4.198,4.092,4.639,6.320,5.913,5.177,5.111,4.826,4.744,5.199,4.242,4.081,4.251,3.817,5.528,3.529,5.186,3.980,8.293,4.136,5.220,4.288,4.885,4.633,4.805,4.650,4.295,5.017,3.991,5.271,3.871,5.406,4.204,5.610,3.572,3.949,4.855,4.197,3.701,4.413,4.445,3.540,5.122,4.111,3.633,3.580,4.413,4.089,5.017,8.293,3.529,3.340
2021-07-21T00:00:00+00:00,4.018,4.044,3.496,4.828,4.777,4.085,3.983,4.484,6.025,5.659,4.987,4.917,4.661,4.584,5.006,4.125,3.974,4.132,3.729,5.307,3.468,4.990,3.877,7.798,4.026,5.023,4.163,4.719,4.483,4.639,4.496,4.169,4.846,3.888,5.070,3.779,5.200,4.085,5.383,3.504,3.852,4.683,4.078,3.621,4.279,4.311,3.476,4.927,3.999,3.558,3.511,4.279,3.981,4.846,7.798,3.468,3.309
2021-07-21T06:00:00+00:00,3.922,3.946,3.439,4.679,4.628,3.988,3.890,4.351,5.775,5.442,4.825,4.751,4.520,4.447,4.842,4.025,3.884,4.030,3.654,5.119,3.415,4.824,3.788,7.378,3.932,4.856,4.056,4.576,4.355,4.498,4.364,4.061,4.700,3.800,4.899,3.699,5.025,3.983,5.190,3.445,3.768,4.536,3.976,3.552,4.163,4.197,3.422,4.762,3.904,3.494,3.451,4.163,3.888,4.700,7.378,3.415,3.283
2021-07-21T12:00:00+00:00,3.839,3.862,3.389,4.552,4.501,3.905,3.810,4.237,5.562,5.258,4.687,4.610,4.399,4.331,4.702,3.939,3.806,3.942,3.590,4.958,3.370,4.682,3.712,7.021,3.852,4.713,3.965,4.455,4.246,4.378,4.251,3.969,4.576,3.725,4.753,3.631,4.876,3.897,5.025,3.395,3.697,4.411,3.889,3.493,4.065,4.100,3.375,4.620,3.822,3.439,3.399,4.065,3.809,4.576,7.021,3.370,3.259
2021-07-21T18:00:00+00:00,3.769,3.790,3.347,4.444,4.393,3.834,3.741,4.140,5.381,5.101,4.570,4.490,4.297,4.231,4.583,3.866,3.739,3.868,3.535,4.821,3.330,4.561,3.647,6.718,3.784,4.592,3.887,4.352,4.153,4.275,4.155,3.890,4.470,3.660,4.629,3.573,4.748,3.823,4.885,3.351,3.636,4.304,3.815,3.442,3.981,4.017,3.335,4.500,3.752,3.392,3.355,3.981,3.741,4.470,6.718,3.330,3.238
2021-07-22T00:00:00+00:00,3.709,3.729,3.310,4.352,4.301,3.773,3.683,4.058,5.227,4.967,4.469,4.387,4.209,4.147,4.481,3.804,3.683,3.804,3.487,4.705,3.297,4.458,3.591,6.462,3.725,4.488,3.820,4.264,4.073,4.187,4.073,3.823,4.379,3.605,4.523,3.523,4.640,3.759,4.766,3.314,3.584,4.213,3.751,3.398,3.910,3.946,3.300,4.397,3.693,3.351,3.317,3.910,3.683,4.379,6.462,3.297,3.220
