datahora,chuva_mm,chuva_wrf,obs_acum,wrf_acum,qsac_bru,qsac_anc,qsac_bru_novo,qsac_anc_novo,qgr5_bru,qgr5_anc
2019-05-24T00:00:00+00:00,15.130,15.130,15.130,15.130,8.199,9.541,8.596,8.807,5.977,5.982
2019-05-24T06:00:00+00:00,23.040,23.040,38.170,38.170,11.655,13.487,12.568,12.876,10.114,10.123
2019-05-24T12:00:00+00:00,0.690,0.690,38.860,38.860,18.953,21.884,14.581,14.938,18.468,18.485
2019-05-24T18:00:00+00:00,0.080,0.080,38.940,38.940,24.367,28.436,14.677,15.036,22.939,22.960
2019-05-25T00:00:00+00:00,0.000,0.000,38.940,38.940,24.552,29.041,14.165,14.512,17.747,17.763
2019-05-25T06:00:00+00:00,0.000,0.000,38.940,38.940,21.197,25.322,13.491,13.822,13.501,13.513
2019-05-25T12:00:00+00:00,0.000,0.000,38.940,38.940,16.951,20.363,12.779,13.092,11.850,11.861
2019-05-25T18:00:00+00:00,0.000,0.000,38.940,38.940,13.318,16.031,12.088,12.384,11.372,11.383
2019-05-26T00:00:00+00:00,0.000,0.000,38.940,38.940,10.730,12.906,11.445,11.726,10.946,10.956
2019-05-26T06:00:00+00:00,0.000,0.000,38.940,38.940,9.079,10.895,10.864,11.131,10.554,10.564
2019-05-26T12:00:00+00:00,0.000,0.000,38.940,38.940,8.094,9.690,10.348,10.601,10.194,10.203
2019-05-26T18:00:00+00:00,0.000,0.000,38.940,38.940,7.537,9.004,9.894,10.136,9.861,9.870
2019-05-27T00:00:00+00:00,0.000,0.000,38.940,38.940,7.199,8.589,9.499,9.731,9.553,9.561
2019-05-27T06:00:00+00:00,0.000,0.000,38.940,38.940,6.965,8.306,9.157,9.381,9.266,9.275
2019-05-27T12:00:00+00:00,0.050,0.050,38.990,38.990,6.918,8.239,8.866,9.083,9.000,9.008
2019-05-27T18:00:00+00:00,0.000,0.000,38.990,38.990,6.907,8.223,8.614,8.826,8.752,8.760
2019-05-28T00:00:00+00:00,0.000,0.000,38.990,38.990,6.896,8.209,8.397,8.603,8.520,8.528
2019-05-28T06:00:00+00:00,0.000,0.000,38.990,38.990,6.880,8.190,8.211,8.412,8.303,8.311
2019-05-28T12:00:00+00:00,0.000,0.000,38.990,38.990,6.860,8.167,8.051,8.248,8.100,8.107
2019-05-28T18:00:00+00:00,4.850,4.850,43.840,43.840,6.959,8.262,8.346,8.551,8.126,8.134
2019-05-29T00:00:00+00:00,4.530,4.530,48.370,48.370,7.758,9.083,8.866,9.083,9.075,9.083
2019-05-29T06:00:00+00:00,1.900,2.400,50.270,50.770,9.178,10.755,9.267,9.494,11.074,11.084
2019-05-29T12:00:00+00:00,0.140,3.120,50.410,53.890,10.496,12.696,9.725,9.964,12.282,12.293
2019-05-29T18:00:00+00:00,0.050,3.700,50.460,57.590,11.459,14.271,10.329,10.582,12.323,12.334
2019-05-30T00:00:00+00:00,0.000,0.070,50.460,57.660,12.183,15.326,10.437,10.693,12.265,12.276
2019-05-30T06:00:00+00:00,0.000,0.700,50.460,58.360,12.127,15.316,10.361,10.615,11.976,11.987
2019-05-30T12:00:00+00:00,0.110,5.320,50.570,63.680,11.516,14.446,10.786,11.051,11.351,11.362
2019-05-30T18:00:00+00:00,0.160,4.410,50.730,68.090,11.733,14.520,11.481,11.762,12.086,12.097
2019-05-31T00:00:00+00:00,1.160,8.850,51.890,76.940,13.120,16.028,13.026,13.345,14.336,14.349
2019-05-31T06:00:00+00:00,0.030,0.840,51.920,77.780,15.697,19.007,13.610,13.944,16.901,16.916
2019-05-31T12:00:00+00:00,0.050,0.000,51.970,77.780,17.367,21.013,13.459,13.789,18.414,18.431
2019-05-31T18:00:00+00:00,0.030,0.120,52.000,77.900,16.774,20.541,12.991,13.309,16.215,16.230
2019-06-01T00:00:00+00:00,6.440,0.000,58.440,77.900,14.650,18.277,12.409,12.713,14.069,14.082
2019-06-01T06:00:00+00:00,4.950,0.000,63.390,77.900,12.298,15.621,11.872,12.163,12.899,12.911
