datahora,pme_wrf,etp
2019-05-29T06:00:00+00:00,2.400,0.000
2019-05-29T12:00:00+00:00,3.120,0.887
2019-05-29T18:00:00+00:00,3.700,0.887
2019-05-30T00:00:00+00:00,0.070,0.000
2019-05-30T06:00:00+00:00,0.700,0.000
2019-05-30T12:00:00+00:00,5.320,0.802
2019-05-30T18:00:00+00:00,4.410,0.802
2019-05-31T00:00:00+00:00,8.850,0.000
2019-05-31T06:00:00+00:00,0.840,0.000
2019-05-31T12:00:00+00:00,0.000,0.875
2019-05-31T18:00:00+00:00,0.120,0.875
2019-06-01T00:00:00+00:00,0.000,0.000
2019-06-01T06:00:00+00:00,0.000,0.000
2019-06-01T12:00:00+00:00,0.000,0.749
2019-06-01T18:00:00+00:00,0.070,0.749
2019-06-02T00:00:00+00:00,0.000,0.000
2019-06-02T06:00:00+00:00,0.010,0.000
2019-06-02T12:00:00+00:00,1.380,0.703
2019-06-02T18:00:00+00:00,0.430,0.703
2019-06-03T00:00:00+00:00,0.130,0.000
2019-06-03T06:00:00+00:00,0.080,0.000
2019-06-03T12:00:00+00:00,0.010,0.805
2019-06-03T18:00:00+00:00,0.020,0.805
2019-06-04T00:00:00+00:00,0.010,0.000
2019-06-04T06:00:00+00:00,0.000,0.000
2019-06-04T12:00:00+00:00,0.000,0.725
2019-06-04T18:00:00+00:00,0.020,0.725
2019-06-05T00:00:00+00:00,0.010,0.000
