datahora_UTC,Qsac_0,Qsac_1,Qsac_2,Qsac_3,Qsac_4,Qsac_5,Qsac_6,Qsac_7,Qsac_8,Qsac_9,Qsac_10,Qsac_11,Qsac_12,Qsac_13,Qsac_14,Qsac_15,Qsac_16,Qsac_17,Qsac_18,Qsac_19,Qsac_20,Qsac_21,Qsac_22,Qsac_23,Qsac_24,Qsac_25,Qsac_26,Qsac_27,Qsac_28,Qsac_29,Qsac_30,Qsac_31,Qsac_32,Qsac_33,Qsac_34,Qsac_35,Qsac_36,Qsac_37,Qsac_38,Qsac_39,Qsac_40,Qsac_41,Qsac_42,Qsac_43,Qsac_44,Qsac_45,Qsac_46,Qsac_47,Qsac_48,Qsac_49,Qsac_50,Qmed,Q25,Q75,Qobs
2020-06-25 00:00:00+00:00,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,2.453
2020-06-25 06:00:00+00:00,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,1.469,2.512
2020-06-25 12:00:00+00:00,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,2.443
2020-06-25 18:00:00+00:00,1.524,1.492,1.470,1.477,1.544,1.489,1.574,1.501,1.558,1.499,1.513,1.503,1.534,1.523,1.569,1.510,1.561,1.495,1.572,1.492,1.504,1.495,1.467,1.490,1.472,1.471,1.494,1.496,1.554,1.487,1.503,1.531,1.485,1.510,1.518,1.529,1.481,1.579,1.523,1.514,1.514,1.479,1.504,1.487,1.471,1.481,1.466,1.482,1.462,1.499,1.475,1.499,1.484,1.523,2.903
2020-06-26 00:00:00+00:00,2.100,1.768,1.928,1.682,2.400,1.974,2.496,1.791,2.324,1.917,1.935,1.857,2.317,2.110,2.317,1.907,2.372,1.868,2.630,1.775,2.011,1.847,1.517,1.902,1.815,1.731,1.952,1.859,2.389,1.780,1.918,2.067,1.914,1.929,1.954,2.239,1.746,2.432,2.134,2.012,1.988,1.755,1.876,1.924,1.678,1.797,1.580,1.909,1.519,1.870,1.753,1.917,1.795,2.067,3.167
2020-06-26 06:00:00+00:00,3.767,2.535,4.357,2.461,5.118,4.020,4.685,2.424,4.226,3.294,3.152,2.761,4.916,3.788,3.665,2.880,4.360,3.116,5.661,2.575,3.782,2.969,1.689,3.572,3.532,2.980,3.736,3.056,4.740,2.776,3.168,3.237,3.754,3.017,2.928,4.456,2.766,4.127,3.969,3.429,3.261,2.963,2.869,3.817,2.648,3.326,2.292,3.810,2.061,2.977,3.006,3.261,2.916,3.810,2.967
2020-06-26 12:00:00+00:00,5.357,3.105,6.511,3.130,7.637,5.845,6.207,3.059,6.411,4.453,5.007,3.433,7.412,5.082,4.544,3.629,6.150,4.189,8.051,3.214,5.291,3.945,1.885,5.401,5.186,4.191,5.295,4.188,7.067,3.637,4.160,4.107,5.364,3.861,3.649,6.238,3.637,5.329,5.444,4.514,4.194,4.462,3.655,5.717,3.582,5.759,3.601,5.505,3.494,3.881,4.075,4.462,3.653,5.444,3.158
2020-06-26 18:00:00+00:00,5.978,3.255,6.974,3.288,8.445,6.350,6.378,3.419,7.704,4.749,6.196,3.494,8.231,5.284,4.573,3.823,6.641,4.525,8.512,3.382,5.749,4.176,2.063,6.998,5.562,4.893,5.742,4.468,8.122,3.983,4.371,4.463,5.709,4.301,3.756,6.557,4.037,5.652,5.692,4.640,4.237,5.279,3.845,6.370,3.950,7.516,4.566,6.102,4.781,4.015,4.327,4.781,4.141,6.196,4.425
2020-06-27 00:00:00+00:00,7.768,4.219,7.213,3.485,9.728,7.291,7.562,4.221,10.726,5.830,7.868,3.796,10.012,6.084,4.578,4.987,7.500,5.742,8.880,4.163,7.079,4.609,2.952,10.858,5.273,5.711,6.852,4.239,9.807,4.866,5.016,6.824,5.888,6.293,3.922,7.393,5.654,7.456,6.768,4.872,4.095,6.780,4.461,7.040,5.159,8.756,5.681,7.383,6.957,4.611,5.054,5.888,4.802,7.383,12.185
2020-06-27 06:00:00+00:00,15.718,8.012,9.034,5.132,13.920,13.250,13.673,5.852,18.453,11.148,13.667,6.996,18.967,10.755,6.264,10.705,13.488,11.385,10.865,8.253,12.548,7.566,6.202,17.811,6.401,8.230,10.777,4.257,15.268,8.094,7.653,15.456,8.387,13.637,5.276,13.257,9.692,14.483,14.450,8.129,5.189,11.931,8.158,10.299,10.405,10.975,9.732,12.022,14.031,10.554,8.768,10.705,8.120,13.488,21.273
