datahora,pme_1,pme_2,pme_3,pme_4,pme_5,pme_6,pme_7,pme_8,pme_9,pme_10,pme_11,pme_12,pme_13,pme_14,pme_15,pme_16,pme_17,pme_18,pme_19,pme_20,pme_21,pme_22,pme_23,pme_24,pme_25,pme_26,pme_27,pme_28,pme_29,pme_30,pme_31,pme_32,pme_33,pme_34,pme_35,pme_36,pme_37,pme_38,pme_39,pme_40,pme_41,pme_42,pme_43,pme_44,pme_45,pme_46,pme_47,pme_48,pme_49,pme_50
2021-05-14T06:00:00+00:00,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.02,0.01,0.03,0.0,0.0,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-14T12:00:00+00:00,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-14T18:00:00+00:00,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
2021-05-15T00:00:00+00:00,0.01,0.14,0.04,0.0,0.02,0.03,0.01,0.35,0.02,0.08,0.63,0.21,0.0,0.03,0.01,0.0,0.0,0.01,0.18,0.1,0.02,0.02,0.2,0.0,0.0,0.21,0.0,0.21,0.59,0.17,0.0,0.07,0.0,0.01,0.0,0.0,0.08,0.03,0.14,0.01,0.31,0.1,0.0,0.31,0.0,0.0,0.07,0.01,0.0,0.05
2021-05-15T06:00:00+00:00,0.15,0.38,0.01,0.01,0.46,0.04,0.03,0.09,0.01,0.1,0.0,0.0,0.0,0.01,0.1,0.02,0.0,0.0,0.17,0.0,0.0,0.0,0.06,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.69,0.0,0.0,0.01,-0.0,0.11,0.32,0.02,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-15T12:00:00+00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0
2021-05-15T18:00:00+00:00,0.01,0.28,0.29,0.0,0.37,0.18,0.48,0.06,0.63,0.2,0.33,0.04,0.02,0.04,0.23,0.0,0.0,0.0,0.57,0.7,0.27,0.03,0.22,0.02,0.0,0.35,0.0,0.17,0.0,0.28,0.51,0.83,0.2,0.36,0.0,0.0,0.32,0.0,0.34,0.47,0.37,0.37,0.0,0.18,0.0,0.0,0.0,0.01,0.23,0.09
2021-05-16T00:00:00+00:00,0.0,0.0,0.03,0.0,0.04,0.02,0.01,0.0,0.09,0.05,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.04,0.03,0.04,0.0,0.04,0.0,0.0,0.01,0.0,0.09,0.0,0.04,0.02,0.04,0.02,0.01,0.0,0.0,0.01,0.0,0.06,0.03,0.18,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.01,0.14
2021-05-16T06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-16T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-16T18:00:00+00:00,0.16,0.03,0.82,0.0,0.61,0.83,0.19,0.02,0.28,0.48,0.47,0.0,0.61,0.47,0.48,0.39,0.22,0.0,0.44,0.01,0.68,0.69,0.86,0.22,0.2,0.25,0.01,0.7,0.69,0.1,0.61,0.1,0.44,0.58,0.08,0.44,0.65,0.01,0.54,0.21,0.47,0.0,0.02,0.35,0.21,0.18,0.31,0.0,0.03,0.43
2021-05-17T00:00:00+00:00,0.0,0.0,0.0,0.0,0.03,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
2021-05-17T06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-17T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-17T18:00:00+00:00,0.0,0.0,0.08,0.0,0.27,0.0,0.16,0.0,0.07,0.0,0.05,0.0,0.05,0.0,0.02,0.0,0.0,0.0,0.15,0.0,0.01,0.01,0.0,0.06,0.0,0.03,0.05,0.04,0.01,0.04,0.16,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.29,0.0,0.03,0.0,0.05,0.11,0.0,0.0,0.31,0.0,0.0,0.0
2021-05-18T00:00:00+00:00,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0
2021-05-18T06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-18T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-18T18:00:00+00:00,0.0,0.0,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.18,0.0,0.07,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0
