datahora_UTC,pme_0,pme_1,pme_2,pme_3,pme_4,pme_5,pme_6,pme_7,pme_8,pme_9,pme_10,pme_11,pme_12,pme_13,pme_14,pme_15,pme_16,pme_17,pme_18,pme_19,pme_20,pme_21,pme_22,pme_23,pme_24,pme_25,pme_26,pme_27,pme_28,pme_29,pme_30,pme_31,pme_32,pme_33,pme_34,pme_35,pme_36,pme_37,pme_38,pme_39,pme_40,pme_41,pme_42,pme_43,pme_44,pme_45,pme_46,pme_47,pme_48,pme_49,pme_50,qjus,etp
2020-06-27 06:00:00+00:00,27.190,21.810,14.750,28.510,17.180,22.940,15.000,30.180,26.090,19.720,22.940,24.680,19.680,16.540,15.090,34.140,14.260,21.740,12.710,22.760,22.900,8.040,14.070,9.120,11.410,31.450,13.060,10.310,20.940,14.250,24.410,16.780,24.440,29.950,11.620,12.870,29.700,18.170,19.740,26.510,25.990,24.250,11.750,11.990,19.480,16.860,42.330,13.560,12.020,22.140,57.890,21.273,0.000
2020-06-27 12:00:00+00:00,26.200,10.500,14.570,7.320,20.940,22.200,14.180,0.930,17.380,17.460,21.280,11.780,10.380,21.450,10.810,22.500,12.260,9.810,17.050,24.730,6.540,21.960,20.610,13.350,4.490,17.610,19.430,21.620,15.230,2.500,12.970,20.120,17.690,19.680,12.440,19.500,19.760,19.070,25.920,17.480,17.810,11.450,37.340,10.830,15.850,7.970,14.930,8.700,17.220,22.540,20.770,31.222,0.818
2020-06-27 18:00:00+00:00,0.580,0.530,0.450,0.430,0.310,3.910,1.060,0.110,2.070,0.170,0.710,1.230,0.330,4.950,13.540,0.680,0.170,0.310,2.310,0.250,0.420,2.920,0.420,1.610,0.250,0.920,1.930,0.870,4.630,0.440,0.480,0.420,1.750,2.300,0.790,2.970,3.040,1.230,2.840,1.190,0.260,1.190,3.600,0.210,1.450,0.490,0.590,0.960,3.000,0.070,2.250,34.488,0.818
2020-06-28 00:00:00+00:00,0.050,0.200,0.330,0.480,0.340,0.190,0.100,0.010,1.120,0.050,0.210,1.820,0.100,0.090,0.140,0.280,0.000,0.040,0.100,0.000,0.400,0.720,0.530,1.900,0.630,0.420,1.950,0.140,0.070,0.530,0.310,0.000,0.670,0.170,0.690,0.160,0.540,0.510,0.780,0.520,0.420,0.690,0.310,0.100,0.420,0.120,0.640,0.210,0.400,0.180,0.880,37.782,0.000
2020-06-28 06:00:00+00:00,0.020,0.030,0.010,0.260,0.060,0.020,0.000,0.000,0.390,0.060,0.010,1.360,0.010,0.000,0.030,0.330,0.000,0.120,0.070,0.010,0.030,0.210,0.060,0.080,0.040,0.000,0.270,0.000,0.070,0.010,0.020,0.010,0.150,0.000,0.290,0.020,0.230,0.330,0.070,0.040,0.020,0.330,0.000,0.030,0.390,0.000,0.020,0.010,0.000,0.030,0.080,38.037,0.000
2020-06-28 12:00:00+00:00,0.000,0.010,0.010,0.000,0.000,0.000,0.000,0.000,0.010,0.020,0.000,0.140,0.000,0.000,0.000,0.010,0.000,0.010,0.020,0.010,0.010,0.010,0.010,0.000,0.000,0.000,0.040,0.000,0.040,0.000,0.010,0.000,0.000,0.010,0.000,0.010,0.000,0.020,0.000,-0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.020,0.000,0.000,31.098,0.828
2020-06-28 18:00:00+00:00,0.000,0.000,0.010,0.020,0.000,0.170,0.010,0.000,0.000,0.000,0.000,0.010,0.000,0.010,0.010,0.040,0.000,0.090,0.000,0.000,0.010,0.000,0.010,0.080,0.010,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.010,0.020,0.000,0.030,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,25.518,0.828
2020-06-29 00:00:00+00:00,0.000,0.990,0.010,0.000,1.730,0.120,0.460,1.160,0.000,1.250,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.120,0.000,0.000,0.000,0.000,0.000,0.030,0.010,0.030,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.010,0.020,5.820,0.000,0.000,0.010,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.010,0.010,21.807,0.000
2020-06-29 06:00:00+00:00,0.000,1.650,0.000,0.170,0.080,0.030,4.240,7.560,0.000,1.060,1.710,0.000,0.670,0.000,0.010,0.000,0.010,3.440,0.000,0.660,0.980,0.000,0.000,0.000,0.000,3.340,0.000,0.000,0.000,0.000,0.000,4.970,0.010,0.000,0.730,0.000,1.100,0.000,1.980,0.000,0.000,0.000,0.000,1.000,0.020,0.000,0.000,0.000,0.010,0.010,0.590,16.832,0.000
2020-06-29 12:00:00+00:00,1.430,3.240,0.000,0.640,5.180,2.090,8.140,2.370,0.000,0.040,8.470,0.000,0.080,0.090,0.000,0.000,1.070,6.080,0.000,0.020,3.520,0.000,0.000,0.860,0.000,0.010,0.280,5.020,0.000,0.000,0.010,1.680,0.000,0.000,5.100,1.680,0.930,0.000,1.080,4.790,-0.000,0.000,0.000,0.730,0.850,0.120,0.000,0.000,0.940,0.020,2.280,13.657,0.815
2020-06-29 18:00:00+00:00,3.420,3.270,0.000,0.170,13.030,0.610,6.310,0.690,0.000,0.010,10.760,0.040,0.080,8.700,0.000,0.690,1.310,0.190,0.560,0.060,2.660,0.890,0.040,2.930,0.000,0.000,0.020,5.520,3.000,2.310,0.070,9.140,0.010,0.000,0.530,0.180,0.550,0.000,0.170,7.620,0.100,0.160,0.000,0.430,4.220,2.950,3.180,0.130,9.720,0.570,0.510,12.117,0.815
2020-06-30 00:00:00+00:00,5.210,1.470,5.740,0.010,9.830,0.730,0.000,0.230,0.050,0.000,0.560,0.780,0.000,11.240,0.030,6.740,0.050,0.010,2.130,0.000,0.150,0.930,0.070,0.390,0.000,0.000,0.000,6.860,7.260,3.320,1.140,3.380,6.490,0.000,0.100,0.030,0.020,0.000,0.000,0.520,0.000,3.640,0.660,1.000,9.380,0.270,1.140,0.020,18.430,3.680,0.000,10.840,0.000
2020-06-30 06:00:00+00:00,11.750,0.010,6.840,0.000,0.010,0.340,0.000,0.200,0.060,0.000,0.000,1.270,1.510,6.580,0.000,10.130,0.010,3.750,0.040,0.000,0.040,0.000,0.030,1.400,0.000,0.000,0.000,7.390,0.170,6.840,0.250,0.000,10.420,0.160,0.000,0.000,0.000,0.000,0.000,1.310,0.000,4.600,3.990,0.000,0.350,0.000,1.660,0.000,7.810,0.020,0.000,9.793,0.000
2020-06-30 12:00:00+00:00,9.570,0.000,6.370,0.000,0.230,0.000,0.000,1.370,0.000,0.010,0.000,0.030,0.730,23.310,0.000,23.240,0.000,13.110,0.010,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.090,14.160,3.410,4.060,0.600,0.000,9.040,2.010,0.000,0.000,6.130,0.030,5.810,0.380,0.000,16.820,6.610,0.000,0.010,0.000,11.170,0.010,13.600,0.000,13.060,9.133,1.025
2020-06-30 18:00:00+00:00,6.940,0.160,7.580,0.270,4.860,0.010,0.360,7.900,3.880,0.870,0.910,0.120,3.280,5.830,4.460,15.750,0.000,22.540,0.060,5.070,3.630,0.000,0.000,0.000,0.000,0.380,2.090,9.990,2.880,2.150,4.070,0.000,16.190,7.140,1.150,0.000,22.490,0.000,18.110,0.060,0.000,10.240,0.850,0.110,0.430,4.760,10.980,0.850,14.890,0.010,8.120,9.558,1.025
2020-07-01 00:00:00+00:00,19.010,12.870,2.330,20.220,19.890,0.120,17.490,2.500,20.580,10.190,2.340,6.260,1.900,0.330,17.720,7.290,3.440,2.490,0.120,12.150,25.630,15.900,0.000,0.000,0.000,10.470,11.770,0.450,14.190,8.820,27.310,0.010,17.340,26.150,8.540,10.130,0.460,0.030,0.620,12.460,0.990,29.040,25.800,9.960,3.250,6.370,1.380,15.230,6.310,0.010,0.000,16.135,0.000
