datahora_UTC,Qsim_0,Qsim_1,Qsim_2,Qsim_3,Qsim_4,Qsim_5,Qsim_6,Qsim_7,Qsim_8,Qsim_9,Qsim_10,Qsim_11,Qsim_12,Qsim_13,Qsim_14,Qsim_15,Qsim_16,Qsim_17,Qsim_18,Qsim_19,Qsim_20,Qsim_21,Qsim_22,Qsim_23,Qsim_24,Qsim_25,Qsim_26,Qsim_27,Qsim_28,Qsim_29,Qsim_30,Qsim_31,Qsim_32,Qsim_33,Qsim_34,Qsim_35,Qsim_36,Qsim_37,Qsim_38,Qsim_39,Qsim_40,Qsim_41,Qsim_42,Qsim_43,Qsim_44,Qsim_45,Qsim_46,Qsim_47,Qsim_48,Qsim_49,Qsim_50,Qmed,Q25,Q75,Qobs
2020-08-18 18:00:00+00:00,17.978,18.896,14.854,19.900,15.647,24.219,17.221,15.002,21.389,12.990,23.807,13.267,54.033,31.382,19.930,17.186,50.495,19.395,16.155,31.194,45.013,18.083,18.833,22.991,9.139,11.782,31.628,9.220,19.541,16.941,18.879,19.792,18.189,25.574,13.308,24.663,22.321,36.694,28.479,25.066,37.749,11.606,29.761,25.119,18.357,15.946,24.573,18.304,18.332,13.540,22.131,19.395,17.448,23.972,12.227
2020-08-19 00:00:00+00:00,16.984,19.347,16.352,19.774,15.242,24.428,18.988,14.993,18.186,12.828,25.613,13.841,45.960,31.373,20.305,16.060,47.133,17.867,14.484,41.924,37.646,22.066,18.564,26.288,9.519,10.854,30.514,9.060,19.092,17.407,19.322,16.958,18.716,22.161,14.224,22.825,19.677,37.560,25.799,27.134,34.845,11.002,33.836,25.583,17.799,17.892,25.265,19.392,18.894,17.353,28.510,19.322,17.524,24.763,12.612
2020-08-19 06:00:00+00:00,15.967,20.653,17.788,20.144,15.717,22.247,17.391,13.254,16.774,14.499,22.077,16.174,44.623,27.645,19.496,15.021,39.443,19.335,13.794,41.474,30.892,26.549,16.953,35.888,10.672,11.136,27.719,8.959,18.593,18.111,18.715,16.179,15.702,18.620,18.000,20.423,18.286,33.048,24.792,31.400,27.414,10.864,31.411,32.872,16.643,17.459,22.074,26.436,16.543,19.049,38.490,18.715,16.827,23.265,13.375
2020-08-19 12:00:00+00:00,15.346,24.588,16.267,21.620,15.388,20.023,15.646,12.026,17.103,16.907,18.355,18.484,48.780,24.757,17.420,14.408,36.671,23.067,15.888,39.879,27.733,28.445,15.544,39.110,11.011,11.719,25.491,9.403,17.418,17.840,16.902,16.381,13.502,16.744,26.174,17.985,20.190,29.700,25.639,36.092,22.850,11.367,31.766,47.101,17.700,18.039,19.320,39.179,14.673,21.162,49.427,18.355,16.791,24.656,18.965
2020-08-19 18:00:00+00:00,14.732,29.987,15.487,23.248,14.198,18.009,14.928,11.341,18.702,19.220,16.180,21.145,53.412,22.259,15.583,13.339,43.750,25.866,23.109,40.214,27.937,24.102,15.215,35.938,11.947,10.914,24.872,10.266,17.501,15.575,15.438,15.696,12.470,15.697,31.142,16.599,25.116,28.682,29.202,47.288,20.869,12.900,35.275,59.999,19.706,17.617,17.818,48.875,13.465,27.018,57.030,19.220,15.617,25.416,26.070
2020-08-20 00:00:00+00:00,15.445,40.383,17.935,24.658,14.806,17.115,17.897,11.025,19.732,23.196,15.298,27.546,59.775,20.397,14.467,12.349,59.334,28.905,33.803,38.804,30.412,21.098,15.252,41.152,15.240,10.758,24.870,12.467,22.362,13.914,15.103,14.374,11.873,14.854,32.430,16.845,28.520,30.347,34.413,66.777,19.451,15.757,43.932,61.792,23.115,18.705,16.706,55.227,13.394,35.519,68.264,20.397,15.538,29.482,26.112
2020-08-20 06:00:00+00:00,18.082,50.020,24.535,26.609,18.631,19.323,24.680,10.900,19.863,23.340,15.908,31.337,61.453,19.091,13.677,12.243,62.503,30.486,40.170,34.048,33.086,20.964,14.554,55.196,20.378,15.186,26.892,15.855,31.415,13.437,17.626,13.424,11.395,14.711,30.411,20.184,30.627,30.062,38.640,81.208,19.554,17.680,46.941,67.426,27.317,24.453,16.324,62.030,15.796,35.275,76.731,24.453,18.247,30.911,28.388
2020-08-20 12:00:00+00:00,21.199,51.167,27.620,27.942,22.632,25.064,28.001,10.543,24.085,20.613,19.353,31.215,55.142,18.167,13.148,13.522,54.539,30.695,38.276,31.059,33.541,22.437,14.296,64.990,21.620,28.347,31.670,16.871,35.886,14.439,22.867,13.128,11.144,15.523,26.647,26.549,35.021,26.967,38.183,78.913,22.084,16.092,41.971,73.855,27.213,30.267,17.634,67.836,19.405,29.770,73.666,26.967,21.325,31.121,27.950
2020-08-20 18:00:00+00:00,22.483,43.775,24.910,27.020,24.048,29.447,26.624,9.988,34.082,19.762,24.367,27.083,50.633,17.886,13.908,15.524,50.746,29.057,31.723,29.956,33.476,23.540,14.942,62.696,20.025,46.465,35.165,16.192,32.435,16.886,26.066,13.236,11.068,17.418,24.164,31.792,40.027,25.230,40.226,70.206,24.346,14.027,41.509,74.559,24.976,30.837,20.380,61.096,18.832,26.364,66.013,26.364,22.800,32.049,25.335
2020-08-21 00:00:00+00:00,25.402,39.117,21.945,26.481,26.388,31.348,26.740,9.768,44.147,22.167,28.013,26.225,45.607,20.596,16.658,17.982,49.957,30.491,28.937,30.922,34.811,24.087,15.975,59.953,19.673,58.913,36.492,16.699,29.726,20.609,28.198,13.554,12.399,21.589,24.510,34.584,40.816,26.521,48.877,68.156,24.218,13.682,43.697,73.935,25.052,31.376,24.350,56.861,17.789,26.773,62.035,26.740,24.126,32.660,22.698
2020-08-21 06:00:00+00:00,29.666,39.639,22.524,28.915,30.726,32.875,28.468,10.696,51.976,25.545,30.547,28.738,42.865,27.705,20.764,22.487,50.746,36.873,28.838,31.852,40.929,25.569,18.098,55.402,18.690,61.088,37.937,18.194,30.076,26.062,30.773,15.367,17.758,26.508,27.284,40.496,41.543,28.814,61.678,72.580,24.899,15.583,46.332,77.577,25.549,34.434,29.396,58.370,18.889,28.525,61.626,29.396,26.196,37.299,20.465
2020-08-21 12:00:00+00:00,32.933,41.156,24.674,31.179,33.787,34.719,29.573,12.770,57.545,25.628,31.749,30.740,39.560,33.295,25.232,24.507,53.376,42.653,27.499,30.690,44.124,26.536,19.643,50.967,17.887,57.171,40.851,19.024,30.870,32.403,31.843,17.962,25.251,29.761,27.641,46.050,40.277,29.089,63.774,71.872,26.035,17.633,48.664,79.463,24.948,39.942,31.897,59.371,21.219,28.269,58.068,31.749,27.542,40.076,20.117
2020-08-21 18:00:00+00:00,33.976,38.485,24.369,29.008,33.405,36.718,29.122,13.830,57.743,23.411,30.477,30.752,34.605,32.193,27.810,21.651,54.074,41.985,24.812,27.731,44.584,24.704,22.137,49.969,16.663,51.080,42.006,17.908,28.655,37.373,30.114,17.997,27.979,28.134,24.560,48.612,35.080,27.199,53.302,63.005,24.282,16.396,50.373,73.579,23.100,44.104,31.806,57.231,21.683,26.643,51.575,30.477,26.810,37.818,18.157
2020-08-22 00:00:00+00:00,31.299,32.646,21.699,25.059,30.364,37.466,25.933,13.854,54.368,22.348,27.516,30.474,30.330,29.911,26.399,19.852,51.072,37.968,22.125,24.846,44.304,22.920,24.509,47.028,15.218,45.733,39.249,17.198,24.872,39.797,26.722,15.604,27.960,25.350,21.573,48.433,29.979,27.077,42.797,52.228,23.287,14.494,50.183,63.192,20.480,41.492,28.008,53.580,19.812,25.082,42.812,27.960,24.854,37.667,15.358
2020-08-22 06:00:00+00:00,27.004,28.347,19.586,22.079,27.313,35.020,22.654,14.485,50.715,21.457,23.859,28.934,27.561,27.550,23.783,19.579,46.460,34.992,20.343,22.519,43.265,22.626,23.129,40.182,14.164,41.923,33.344,16.588,22.182,38.872,23.430,13.853,26.150,23.141,20.045,44.850,26.856,26.455,36.394,43.332,25.121,13.152,45.594,53.283,18.616,34.609,24.421,46.333,17.525,24.567,36.606,26.150,22.634,33.850,13.202
2020-08-22 12:00:00+00:00,23.647,25.685,18.381,20.364,24.094,30.105,20.552,15.182,46.641,20.111,21.404,25.650,25.321,25.054,21.558,19.496,40.704,30.981,18.879,20.875,38.806,21.667,20.187,34.380,13.470,36.656,28.751,15.452,20.473,33.447,21.272,12.961,24.266,21.196,19.304,37.668,24.671,23.648,32.259,37.587,26.091,12.416,40.183,45.502,17.363,29.512,21.978,38.965,15.932,22.648,32.485,23.648,20.649,29.055,11.393
2020-08-22 18:00:00+00:00,21.590,23.462,17.058,18.898,21.813,26.182,19.059,14.146,39.508,18.322,19.789,22.673,23.223,22.340,19.635,17.972,34.889,27.320,17.606,19.403,33.353,19.617,17.816,30.514,12.832,31.783,25.950,14.161,18.994,28.346,19.690,12.328,21.582,19.252,18.078,32.088,22.628,21.138,28.930,33.268,23.580,11.827,35.057,38.990,16.264,26.567,20.261,33.866,14.954,20.338,29.154,21.582,19.117,26.043,9.708
2020-08-23 00:00:00+00:00,19.956,21.581,15.939,17.624,20.145,23.788,17.761,12.599,33.789,16.843,18.393,20.778,21.429,20.403,17.945,16.261,30.808,24.666,16.490,18.087,29.119,17.817,16.474,27.524,12.190,28.440,23.705,13.228,17.707,25.212,18.317,11.751,19.303,17.839,16.717,28.672,20.862,19.443,26.201,29.800,20.641,11.292,30.649,34.409,15.292,24.192,18.811,30.251,14.122,18.679,26.423,19.443,17.778,23.738,8.775
