datahora_UTC,Qgr5_0,Qgr5_1,Qgr5_2,Qgr5_3,Qgr5_4,Qgr5_5,Qgr5_6,Qgr5_7,Qgr5_8,Qgr5_9,Qgr5_10,Qgr5_11,Qgr5_12,Qgr5_13,Qgr5_14,Qgr5_15,Qgr5_16,Qgr5_17,Qgr5_18,Qgr5_19,Qgr5_20,Qgr5_21,Qgr5_22,Qgr5_23,Qgr5_24,Qgr5_25,Qgr5_26,Qgr5_27,Qgr5_28,Qgr5_29,Qgr5_30,Qgr5_31,Qgr5_32,Qgr5_33,Qgr5_34,Qgr5_35,Qgr5_36,Qgr5_37,Qgr5_38,Qgr5_39,Qgr5_40,Qgr5_41,Qgr5_42,Qgr5_43,Qgr5_44,Qgr5_45,Qgr5_46,Qgr5_47,Qgr5_48,Qgr5_49,Qgr5_50,Qmed,Q25,Q75,Qobs
2020-06-24 00:00:00+00:00,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.769,2.540
2020-06-24 06:00:00+00:00,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.756,2.468
2020-06-24 12:00:00+00:00,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.463
2020-06-24 18:00:00+00:00,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.458
2020-06-25 00:00:00+00:00,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.453
2020-06-25 06:00:00+00:00,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.512
2020-06-25 12:00:00+00:00,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.443
2020-06-25 18:00:00+00:00,2.685,2.685,2.685,2.711,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.708,2.685,2.685,2.685,2.685,2.701,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.808,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.685,2.903
2020-06-26 00:00:00+00:00,2.974,3.045,2.757,3.002,2.969,2.717,3.046,2.851,2.815,3.011,2.932,2.786,2.982,2.907,2.943,2.811,3.111,2.904,2.969,2.940,2.872,2.995,2.855,2.944,3.026,3.002,2.812,2.681,2.915,2.846,2.858,2.963,2.846,2.755,2.886,2.910,2.935,2.992,2.916,2.791,3.100,2.827,2.789,2.920,2.917,3.495,2.755,2.949,2.745,2.879,2.856,2.915,2.841,2.969,3.167
2020-06-26 06:00:00+00:00,4.332,4.755,3.573,4.121,4.136,3.054,4.785,3.620,3.644,4.517,3.934,3.351,4.380,3.815,4.350,3.422,4.621,3.819,4.117,4.164,3.715,4.035,3.560,4.030,4.784,4.355,3.344,2.813,3.910,3.755,3.625,4.142,3.754,3.421,3.708,4.030,4.093,4.274,3.848,3.333,4.804,4.107,3.508,4.003,4.092,5.437,3.219,4.342,3.079,3.680,4.047,4.003,3.623,4.164,2.967
