datahora_UTC,Qgr5_0,Qgr5_1,Qgr5_2,Qgr5_3,Qgr5_4,Qgr5_5,Qgr5_6,Qgr5_7,Qgr5_8,Qgr5_9,Qgr5_10,Qgr5_11,Qgr5_12,Qgr5_13,Qgr5_14,Qgr5_15,Qgr5_16,Qgr5_17,Qgr5_18,Qgr5_19,Qgr5_20,Qgr5_21,Qgr5_22,Qgr5_23,Qgr5_24,Qgr5_25,Qgr5_26,Qgr5_27,Qgr5_28,Qgr5_29,Qgr5_30,Qgr5_31,Qgr5_32,Qgr5_33,Qgr5_34,Qgr5_35,Qgr5_36,Qgr5_37,Qgr5_38,Qgr5_39,Qgr5_40,Qgr5_41,Qgr5_42,Qgr5_43,Qgr5_44,Qgr5_45,Qgr5_46,Qgr5_47,Qgr5_48,Qgr5_49,Qgr5_50,Qmed,Q25,Q75,Qobs
2020-06-25 00:00:00+00:00,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.453
2020-06-25 06:00:00+00:00,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.512
2020-06-25 12:00:00+00:00,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.443
2020-06-25 18:00:00+00:00,2.725,2.692,2.685,2.685,2.746,2.690,2.777,2.701,2.760,2.700,2.714,2.703,2.735,2.724,2.771,2.711,2.763,2.695,2.775,2.693,2.705,2.696,2.685,2.690,2.685,2.685,2.694,2.696,2.756,2.687,2.704,2.733,2.685,2.711,2.719,2.731,2.685,2.781,2.724,2.715,2.715,2.685,2.705,2.687,2.685,2.685,2.685,2.685,2.685,2.700,2.685,2.700,2.685,2.724,2.903
2020-06-26 00:00:00+00:00,3.101,2.820,3.110,2.799,3.379,3.041,3.417,2.825,3.266,2.959,2.951,2.889,3.312,3.113,3.237,2.928,3.312,2.917,3.567,2.826,3.049,2.894,2.698,2.964,2.970,2.888,3.009,2.906,3.345,2.841,2.952,3.051,2.987,2.950,2.960,3.237,2.840,3.339,3.139,3.029,3.003,2.858,2.908,2.994,2.837,2.893,2.773,2.998,2.736,2.910,2.888,2.960,2.889,3.101,3.167
2020-06-26 06:00:00+00:00,4.253,3.268,4.812,3.278,5.346,4.413,4.988,3.204,4.669,3.854,3.811,3.447,5.179,4.249,4.188,3.544,4.747,3.716,5.787,3.301,4.236,3.605,2.793,4.080,4.145,3.722,4.194,3.677,5.056,3.450,3.758,3.833,4.201,3.646,3.586,4.782,3.476,4.557,4.393,3.965,3.834,3.664,3.532,4.267,3.476,3.971,3.291,4.265,3.168,3.611,3.709,3.834,3.576,4.265,2.967
2020-06-26 12:00:00+00:00,5.483,3.728,6.838,3.847,7.456,6.047,6.089,3.637,6.247,4.820,5.171,3.956,7.280,5.278,4.651,4.091,6.045,4.609,7.757,3.809,5.518,4.402,2.939,5.649,5.621,4.786,5.563,4.599,6.872,4.165,4.562,4.413,5.652,4.279,4.079,6.265,4.228,5.283,5.590,4.823,4.555,4.895,4.131,5.934,4.276,5.956,4.291,5.793,4.223,4.338,4.663,4.820,4.278,5.652,3.158
2020-06-26 18:00:00+00:00,5.240,3.512,5.756,3.542,6.791,5.268,5.161,3.721,6.654,4.379,5.844,3.571,6.688,4.595,4.099,3.825,5.566,4.270,6.455,3.563,4.981,4.029,3.014,6.081,4.929,4.561,5.013,4.251,6.625,3.903,4.124,4.252,4.899,4.077,3.729,5.348,4.056,4.829,4.859,4.200,3.947,5.036,3.814,5.502,4.041,6.787,4.754,5.183,5.157,3.892,4.171,4.595,4.038,5.240,4.425
2020-06-27 00:00:00+00:00,6.016,4.140,5.222,3.454,6.674,5.347,5.693,4.050,7.767,4.867,6.249,3.701,6.986,4.867,3.916,4.552,5.623,4.885,5.804,4.030,5.501,4.104,3.599,7.988,4.135,4.771,5.371,3.644,6.809,4.274,4.361,5.780,4.527,5.313,3.653,5.447,5.002,5.871,5.254,4.130,3.606,5.539,4.090,5.318,4.650,6.547,4.941,5.556,5.980,4.168,4.426,4.941,4.139,5.623,12.185
2020-06-27 06:00:00+00:00,11.393,7.107,6.952,4.879,9.722,9.431,10.154,5.488,13.008,8.692,9.880,6.190,12.899,8.255,5.546,8.669,9.604,9.047,7.685,7.098,9.627,6.406,6.079,12.887,5.220,6.768,8.447,3.853,10.682,6.891,6.578,11.905,6.683,10.416,4.944,9.638,8.280,10.969,10.496,6.753,4.737,9.043,7.013,7.816,8.450,7.648,7.696,9.016,10.459,8.343,7.384,8.280,6.764,9.638,21.273
2020-06-27 12:00:00+00:00,21.267,11.668,10.406,8.791,14.201,17.210,17.669,7.510,19.421,15.584,16.016,11.618,24.101,13.547,9.848,16.088,17.130,17.569,11.411,12.789,17.236,10.859,10.902,18.245,9.343,11.707,12.721,5.526,18.965,12.109,9.890,21.672,12.456,18.514,8.110,18.527,12.456,19.340,21.560,13.354,7.989,14.302,13.236,13.011,14.884,9.409,13.134,14.563,18.800,17.913,13.004,13.354,11.566,17.569,31.222
2020-06-27 18:00:00+00:00,28.618,13.846,14.684,13.265,17.131,20.607,23.797,9.061,22.548,20.473,19.412,15.826,29.868,15.338,14.580,20.755,20.940,26.327,15.287,16.657,23.239,14.232,14.703,21.209,14.965,17.174,15.267,8.326,28.830,17.851,11.986,26.552,19.375,22.042,11.889,27.025,16.177,26.223,29.145,20.724,11.973,16.268,17.513,17.854,17.571,9.163,15.610,18.194,24.518,24.081,17.002,17.571,15.191,22.042,34.488
