datahora_UTC,Qsac_0,Qsac_1,Qsac_2,Qsac_3,Qsac_4,Qsac_5,Qsac_6,Qsac_7,Qsac_8,Qsac_9,Qsac_10,Qsac_11,Qsac_12,Qsac_13,Qsac_14,Qsac_15,Qsac_16,Qsac_17,Qsac_18,Qsac_19,Qsac_20,Qsac_21,Qsac_22,Qsac_23,Qsac_24,Qsac_25,Qsac_26,Qsac_27,Qsac_28,Qsac_29,Qsac_30,Qsac_31,Qsac_32,Qsac_33,Qsac_34,Qsac_35,Qsac_36,Qsac_37,Qsac_38,Qsac_39,Qsac_40,Qsac_41,Qsac_42,Qsac_43,Qsac_44,Qsac_45,Qsac_46,Qsac_47,Qsac_48,Qsac_49,Qsac_50,Qmed,Q25,Q75,Qobs
2020-06-26 18:00:00+00:00,7.424,9.133,8.510,8.250,5.362,4.126,9.521,4.779,6.687,7.850,4.841,4.736,7.723,4.530,9.069,4.362,7.463,4.844,5.297,6.986,5.214,5.293,3.848,5.243,10.348,6.422,3.576,3.288,5.356,6.484,4.607,5.758,6.448,6.618,4.199,6.831,6.687,5.988,4.662,4.210,7.312,12.355,6.156,6.601,7.400,16.809,4.490,8.780,4.642,4.154,10.081,6.156,4.718,7.424,4.425
2020-06-27 00:00:00+00:00,8.329,10.684,11.004,9.771,5.039,4.590,9.571,5.262,8.428,8.004,5.546,6.469,9.851,4.444,9.890,5.678,7.201,6.231,6.095,7.986,6.468,5.844,3.658,4.747,10.477,7.043,5.101,5.302,5.836,6.878,6.020,5.815,7.245,7.605,4.085,7.565,7.204,6.561,5.820,5.710,8.483,16.248,6.600,7.255,9.599,22.432,6.009,10.172,6.473,3.849,12.499,6.600,5.789,8.428,12.185
2020-06-27 06:00:00+00:00,12.666,19.324,16.530,13.923,6.256,6.144,9.710,8.332,15.194,9.415,9.143,12.557,16.736,5.869,12.516,11.550,8.584,11.753,10.228,12.815,10.753,7.339,3.791,4.212,10.400,12.026,8.173,10.700,8.042,7.344,13.539,6.312,10.970,11.574,4.490,11.310,9.498,10.528,10.022,11.156,14.598,25.284,7.320,7.827,14.519,28.795,11.485,12.552,9.215,4.588,16.945,10.700,8.140,12.557,21.273
2020-06-27 12:00:00+00:00,22.657,32.351,23.730,22.904,11.116,11.789,12.583,16.539,26.925,14.640,17.145,22.670,26.393,10.541,17.473,24.255,12.732,20.668,16.500,22.306,18.525,10.275,6.221,5.202,11.803,23.373,13.024,17.444,14.048,9.634,25.498,9.773,19.390,21.455,6.555,17.468,17.567,17.987,17.889,21.298,25.728,37.973,11.021,10.059,22.064,35.531,24.968,16.369,13.410,9.363,33.352,17.473,12.388,22.670,31.222
2020-06-27 18:00:00+00:00,35.326,40.640,29.605,30.074,18.625,20.494,17.313,22.450,37.643,21.739,26.785,30.886,33.028,18.067,22.458,38.176,17.492,27.289,22.745,33.601,24.268,15.913,11.809,8.259,13.030,35.054,19.277,24.353,21.276,11.431,34.831,16.206,28.565,32.843,10.097,24.262,28.098,26.094,28.101,31.328,36.266,45.803,21.184,13.340,29.274,38.147,38.377,19.438,18.715,17.502,51.736,24.353,18.693,32.843,34.488
2020-06-28 00:00:00+00:00,40.474,39.767,29.912,30.292,22.371,25.653,19.249,22.154,40.167,24.490,30.848,32.054,32.448,23.014,26.253,42.943,18.823,27.641,24.837,37.868,24.306,19.787,15.365,10.433,12.365,38.307,22.249,26.739,24.758,11.060,35.742,19.685,31.723,37.127,11.944,27.210,33.023,28.949,33.382,34.222,38.491,44.478,29.390,14.494,30.827,34.916,41.720,19.245,21.202,21.893,58.014,27.641,22.089,34.222,37.782
2020-06-28 06:00:00+00:00,36.525,32.612,25.195,25.158,20.637,24.597,17.272,17.993,35.227,21.835,27.886,27.572,26.673,22.469,25.834,38.218,16.427,23.003,22.058,33.871,20.165,19.256,14.858,10.484,10.258,33.454,20.702,23.654,23.004,9.227,30.042,18.301,28.190,33.390,11.222,24.777,30.496,25.737,31.164,29.950,33.109,36.727,29.813,12.835,26.693,27.774,36.162,16.159,19.450,20.498,52.052,25.158,19.986,30.042,38.037
2020-06-28 12:00:00+00:00,28.275,23.918,18.833,18.625,16.169,19.756,13.418,13.015,27.191,16.760,21.577,21.371,19.571,18.282,21.531,29.382,12.520,16.930,16.995,26.088,14.862,15.811,12.047,9.033,7.804,25.439,16.689,18.099,18.230,7.032,22.284,14.406,21.775,25.835,9.148,19.405,24.073,19.906,24.785,22.830,24.956,27.375,24.643,9.949,20.399,20.222,27.323,12.131,15.363,16.144,40.386,19.405,15.699,23.918,31.098
2020-06-28 18:00:00+00:00,19.981,16.488,13.125,12.930,11.500,14.220,9.572,8.857,19.370,11.775,15.191,15.519,13.472,13.284,16.052,20.723,8.830,11.615,12.001,18.385,10.235,11.654,8.820,7.003,5.678,17.797,12.219,12.670,13.076,5.122,15.373,10.294,15.418,18.252,6.854,13.839,17.254,14.143,17.811,15.988,17.411,19.251,17.996,7.159,14.474,14.084,19.016,8.536,11.045,11.493,28.691,13.472,11.381,16.488,25.518
2020-06-29 00:00:00+00:00,13.502,11.155,8.910,8.752,7.821,9.665,6.564,5.953,13.255,7.945,10.183,10.812,9.064,9.060,11.211,14.004,6.028,7.750,8.100,12.414,6.863,8.082,6.139,5.124,4.083,11.977,8.463,8.499,8.876,3.707,10.298,7.008,10.452,12.341,4.922,9.397,11.930,9.601,12.115,10.758,11.733,13.279,12.258,5.001,9.900,9.803,12.761,5.858,7.574,7.773,19.548,9.064,7.706,11.211,21.807
2020-06-29 06:00:00+00:00,9.150,7.929,6.115,6.032,5.566,6.486,4.746,4.532,9.077,5.586,6.877,7.495,6.268,6.103,7.680,9.478,4.200,5.397,5.497,8.433,4.720,5.544,4.284,3.748,3.038,8.249,5.796,5.695,5.982,2.775,7.015,4.954,7.082,8.321,3.592,6.364,9.396,6.539,8.238,7.270,8.037,9.312,8.142,3.602,6.821,7.072,8.617,4.105,5.181,5.259,13.342,6.268,5.239,7.929,16.832
2020-06-29 12:00:00+00:00,6.529,6.462,4.481,4.430,4.424,4.552,4.707,5.172,6.504,4.355,5.373,5.370,4.712,4.228,5.427,6.692,3.134,4.782,3.892,6.097,3.676,3.914,3.113,2.854,2.443,6.521,4.086,4.140,4.170,2.237,5.049,4.517,5.026,5.883,2.982,4.539,8.471,4.638,6.100,5.294,5.802,6.980,5.543,2.897,4.964,5.462,6.118,3.078,3.695,3.705,9.691,4.707,4.043,5.543,13.657
2020-06-29 18:00:00+00:00,5.291,6.412,3.527,3.624,5.129,3.679,6.830,6.364,4.990,3.628,6.914,4.071,3.850,3.407,4.062,5.082,2.693,5.873,2.963,4.774,3.763,2.947,2.423,2.488,2.091,5.808,3.074,4.263,3.172,1.976,3.925,5.139,3.826,4.468,3.443,3.690,7.644,3.519,5.096,5.238,4.509,5.615,4.000,2.637,4.086,4.687,4.751,2.474,3.281,2.823,7.913,4.000,3.376,5.096,12.117
2020-06-30 00:00:00+00:00,5.403,7.044,3.115,3.168,9.189,3.360,9.584,6.622,4.059,3.070,10.798,3.290,3.292,4.858,3.248,4.441,2.639,6.691,2.524,3.958,4.413,2.534,2.044,2.723,1.885,5.079,2.516,6.055,3.242,2.230,3.249,7.067,3.312,3.635,4.052,3.258,6.646,2.843,4.474,7.125,3.747,4.887,3.139,2.557,4.739,4.600,4.415,2.146,5.643,2.493,7.110,3.747,3.104,5.079,10.840
2020-06-30 06:00:00+00:00,7.395,7.609,4.142,2.837,14.559,3.181,10.507,5.881,3.559,2.594,13.091,2.978,3.009,9.129,2.801,5.804,2.614,6.454,2.612,3.465,4.654,2.469,1.820,3.054,1.751,4.360,2.181,9.031,4.776,3.218,3.060,8.851,4.595,3.133,4.009,2.975,5.514,2.475,3.917,8.607,3.329,5.237,2.855,2.531,7.642,4.749,4.567,1.968,12.530,2.798,6.308,3.917,2.850,5.881,9.793
2020-06-30 12:00:00+00:00,12.035,7.448,6.950,2.695,16.673,3.021,9.371,4.969,3.342,2.262,12.538,3.065,3.078,14.575,2.584,10.910,2.477,6.977,2.729,3.162,4.353,2.383,1.673,3.259,1.707,3.841,1.960,12.775,6.320,5.259,3.112,9.056,8.774,2.977,3.516,2.682,4.780,2.275,3.601,8.689,3.140,7.640,3.500,2.456,9.759,4.730,5.594,1.890,19.850,3.122,6.383,3.601,2.915,7.448,9.133
2020-06-30 18:00:00+00:00,17.737,6.691,10.353,2.617,15.391,2.854,7.526,4.511,3.398,2.142,10.521,3.192,3.398,22.618,2.569,21.119,2.319,11.456,2.718,3.218,3.877,2.308,1.665,3.245,1.697,3.554,1.967,18.150,7.051,7.187,3.342,7.866,14.513,3.474,2.983,2.507,6.630,2.255,5.430,7.972,3.118,13.979,5.590,2.324,9.788,4.700,9.267,1.894,26.226,3.151,9.919,3.877,2.820,9.267,9.558
2020-07-01 00:00:00+00:00,22.657,6.348,13.422,3.431,14.289,2.617,6.570,5.722,4.871,2.507,8.421,3.351,4.056,28.307,3.995,32.214,2.229,20.355,2.563,4.444,5.180,2.741,1.651,2.934,1.688,3.759,2.625,23.010,8.186,8.276,5.388,6.202,21.960,6.519,2.927,2.708,13.876,2.247,11.384,7.280,3.124,22.725,8.390,2.467,8.636,5.640,14.615,2.531,31.611,2.882,15.052,5.640,2.916,11.384,16.135
