datahora_UTC,Qsac_0,Qsac_1,Qsac_2,Qsac_3,Qsac_4,Qsac_5,Qsac_6,Qsac_7,Qsac_8,Qsac_9,Qsac_10,Qsac_11,Qsac_12,Qsac_13,Qsac_14,Qsac_15,Qsac_16,Qsac_17,Qsac_18,Qsac_19,Qsac_20,Qsac_21,Qsac_22,Qsac_23,Qsac_24,Qsac_25,Qsac_26,Qsac_27,Qsac_28,Qsac_29,Qsac_30,Qsac_31,Qsac_32,Qsac_33,Qsac_34,Qsac_35,Qsac_36,Qsac_37,Qsac_38,Qsac_39,Qsac_40,Qsac_41,Qsac_42,Qsac_43,Qsac_44,Qsac_45,Qsac_46,Qsac_47,Qsac_48,Qsac_49,Qsac_50,Qmed,Q25,Q75,Qobs
2020-06-26 00:00:00+00:00,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,3.167
2020-06-26 06:00:00+00:00,3.104,3.220,3.214,3.084,3.074,3.064,3.128,3.104,3.164,3.146,3.090,3.081,3.087,3.184,3.104,3.298,3.063,3.104,3.110,3.148,3.129,3.127,3.108,3.100,3.085,3.187,3.091,3.119,3.058,3.154,3.115,3.114,3.191,3.071,3.098,3.092,3.096,3.080,3.096,3.063,3.218,3.109,3.083,3.113,3.090,3.083,3.090,3.103,3.241,3.256,3.118,3.104,3.089,3.129,2.967
2020-06-26 12:00:00+00:00,4.636,5.424,5.375,4.505,4.434,4.363,4.799,4.635,5.044,4.917,4.540,4.484,4.523,5.174,4.634,5.942,4.387,4.636,4.677,4.934,4.807,4.790,4.666,4.612,4.505,5.192,4.549,4.738,4.323,4.975,4.708,4.701,5.228,4.416,4.597,4.557,4.580,4.476,4.587,4.362,5.405,4.672,4.493,4.697,4.543,4.495,4.539,4.632,5.560,5.660,4.732,4.636,4.535,4.807,3.158
2020-06-26 18:00:00+00:00,5.154,6.578,6.446,4.986,4.909,4.656,5.388,5.148,5.993,5.621,4.934,4.897,4.956,6.092,5.127,7.453,4.858,5.337,5.226,5.732,5.572,5.401,5.214,5.190,4.971,6.174,5.021,5.291,4.590,5.697,5.449,5.283,6.410,4.755,5.034,5.081,5.081,4.846,5.093,4.824,6.471,5.230,4.930,5.323,5.029,5.064,5.037,5.099,6.898,6.908,5.347,5.190,5.012,5.572,4.425
2020-06-27 00:00:00+00:00,5.680,6.794,7.129,5.342,6.347,4.627,5.129,5.572,6.942,5.742,4.856,5.003,5.198,6.646,5.237,8.113,5.409,6.509,5.531,7.505,7.080,6.065,5.560,5.839,5.948,6.791,5.400,5.319,5.074,5.742,6.597,5.475,8.413,4.978,4.783,5.929,5.532,5.088,5.547,6.012,6.601,5.883,5.885,5.860,5.753,6.161,5.702,5.043,8.061,6.934,5.951,5.753,5.386,6.509,12.185
2020-06-27 06:00:00+00:00,9.986,8.624,11.373,6.810,12.885,5.804,5.689,9.242,10.153,7.752,7.117,6.386,7.376,10.527,7.420,11.353,8.928,9.027,8.024,17.423,13.399,11.727,8.272,8.309,11.989,9.670,8.348,7.608,9.783,7.987,9.511,7.142,14.903,7.589,5.757,10.393,8.442,8.306,9.326,10.518,8.331,10.327,12.507,8.047,9.978,9.024,9.181,6.877,11.427,8.453,9.468,9.024,7.928,10.327,21.273
2020-06-27 12:00:00+00:00,19.564,15.781,18.976,12.215,23.458,9.330,9.913,17.334,18.248,12.855,14.934,12.149,12.229,18.334,13.354,17.288,17.330,13.702,13.707,33.358,23.829,22.964,15.175,14.070,25.441,16.166,15.722,14.265,19.524,13.048,15.119,13.129,23.946,13.100,10.624,19.187,15.114,15.133,18.340,20.250,13.281,19.463,25.893,13.311,18.325,13.887,16.370,12.212,17.263,14.363,15.981,15.722,13.343,18.340,31.222
2020-06-27 18:00:00+00:00,31.984,25.017,28.449,21.552,35.543,15.888,18.407,27.417,28.553,20.681,26.825,22.905,18.483,27.576,21.015,24.305,26.883,20.171,21.674,45.094,34.729,34.498,28.341,21.799,41.372,24.624,24.251,22.272,30.313,18.565,21.364,22.973,30.366,19.305,18.329,28.746,24.514,23.188,29.858,29.988,22.389,31.831,39.627,20.268,28.173,20.638,25.077,21.310,23.363,21.715,24.090,24.305,21.505,28.553,34.488
2020-06-28 00:00:00+00:00,37.678,28.806,32.666,27.126,40.500,19.773,23.774,31.969,32.934,24.836,33.231,29.765,21.189,31.304,24.264,27.307,30.448,22.967,25.707,45.855,38.225,38.026,36.967,25.195,47.680,28.520,27.355,25.346,34.465,20.236,23.277,28.615,30.233,21.482,22.435,32.102,29.369,26.273,35.341,32.628,28.021,37.904,43.904,23.258,32.253,23.766,28.827,26.677,24.954,24.394,27.775,28.615,24.925,32.666,37.782
2020-06-28 06:00:00+00:00,34.465,26.062,29.607,25.989,36.759,18.760,22.954,29.185,29.878,23.065,31.074,28.774,19.220,28.089,22.038,24.788,27.177,20.694,23.787,38.303,33.775,33.539,35.759,22.864,43.113,26.007,24.354,22.700,31.017,17.796,20.476,27.100,25.077,19.055,21.008,28.517,27.196,23.420,32.567,28.316,26.687,35.016,38.828,21.026,29.077,21.634,26.125,25.280,21.693,21.715,25.320,26.062,22.823,29.607,38.037
