datahora_UTC,Qgr5_0,Qgr5_1,Qgr5_2,Qgr5_3,Qgr5_4,Qgr5_5,Qgr5_6,Qgr5_7,Qgr5_8,Qgr5_9,Qgr5_10,Qgr5_11,Qgr5_12,Qgr5_13,Qgr5_14,Qgr5_15,Qgr5_16,Qgr5_17,Qgr5_18,Qgr5_19,Qgr5_20,Qgr5_21,Qgr5_22,Qgr5_23,Qgr5_24,Qgr5_25,Qgr5_26,Qgr5_27,Qgr5_28,Qgr5_29,Qgr5_30,Qgr5_31,Qgr5_32,Qgr5_33,Qgr5_34,Qgr5_35,Qgr5_36,Qgr5_37,Qgr5_38,Qgr5_39,Qgr5_40,Qgr5_41,Qgr5_42,Qgr5_43,Qgr5_44,Qgr5_45,Qgr5_46,Qgr5_47,Qgr5_48,Qgr5_49,Qgr5_50,Qmed,Q25,Q75,Qobs
2020-06-22 18:00:00+00:00,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.836,2.572
2020-06-23 00:00:00+00:00,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.822,2.560
2020-06-23 06:00:00+00:00,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.558
2020-06-23 12:00:00+00:00,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.795,2.794,2.794,2.794,2.794,2.794,2.794,2.795,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.794,2.617
2020-06-23 18:00:00+00:00,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.781,2.482
2020-06-24 00:00:00+00:00,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.540
2020-06-24 06:00:00+00:00,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.756,2.755,2.755,2.755,2.755,2.755,2.755,2.756,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.468
2020-06-24 12:00:00+00:00,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.743,2.463
2020-06-24 18:00:00+00:00,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.731,2.458
2020-06-25 00:00:00+00:00,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.719,2.453
2020-06-25 06:00:00+00:00,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.707,2.512
2020-06-25 12:00:00+00:00,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.696,2.443
2020-06-25 18:00:00+00:00,2.684,2.684,2.684,2.734,2.741,2.684,2.684,2.684,2.684,2.684,2.684,2.702,2.698,2.684,2.684,2.684,2.693,2.684,2.684,2.684,2.684,2.684,2.684,2.684,2.684,2.684,2.684,2.684,2.724,2.720,2.746,2.685,2.684,2.702,2.684,2.684,2.684,2.684,2.700,2.735,2.684,2.684,2.684,2.690,2.684,2.684,2.684,2.684,2.700,2.684,2.684,2.684,2.684,2.685,2.903
2020-06-26 00:00:00+00:00,2.869,2.714,2.931,3.021,3.094,2.819,2.689,2.673,2.683,2.898,2.741,2.867,2.849,2.832,2.674,2.684,2.734,2.878,2.685,2.697,2.726,2.715,2.673,2.725,2.713,2.674,2.673,2.704,3.138,3.167,3.164,2.673,2.884,2.856,2.673,2.673,2.889,2.779,2.975,3.141,2.673,2.676,2.702,2.874,2.674,2.725,2.714,2.689,2.906,2.673,2.811,2.725,2.683,2.874,3.167
2020-06-26 06:00:00+00:00,3.849,2.870,4.079,3.644,4.017,3.692,2.832,2.670,2.833,4.290,3.063,3.390,3.640,3.443,2.814,2.824,3.032,3.789,2.899,2.841,3.024,3.064,2.773,2.992,2.868,2.665,2.673,2.901,4.703,4.782,4.212,2.722,3.700,3.451,2.662,2.662,4.083,3.592,4.084,4.460,2.663,2.749,3.032,3.577,2.672,3.067,3.016,2.739,3.827,2.716,3.529,3.032,2.822,3.692,2.967
2020-06-26 12:00:00+00:00,5.948,3.077,6.219,3.967,5.004,5.941,3.258,3.099,3.680,7.872,3.677,3.960,5.604,4.174,3.530,3.537,4.130,5.416,3.655,3.181,3.830,4.285,3.326,3.518,3.097,2.690,2.828,3.409,7.294,7.124,5.098,3.032,4.680,4.618,2.652,2.844,6.826,5.753,5.783,6.717,2.695,3.293,4.253,4.392,2.761,4.067,4.124,2.798,5.746,2.913,4.978,3.967,3.239,5.098,3.158
2020-06-26 18:00:00+00:00,8.029,3.160,7.956,3.672,5.199,8.737,3.661,5.214,5.705,11.797,4.121,3.761,7.969,3.901,5.137,5.111,6.417,6.552,4.473,3.409,4.885,6.518,4.350,3.722,3.156,2.982,3.391,4.037,8.432,7.659,4.783,3.780,4.122,5.970,2.641,4.067,9.657,7.596,6.532,9.035,2.909,4.632,6.295,3.993,3.219,5.570,6.277,2.920,7.616,3.248,5.984,4.885,3.751,6.518,4.425
2020-06-27 00:00:00+00:00,9.896,3.856,10.185,4.087,5.159,10.984,3.556,9.175,7.660,12.589,4.481,3.371,8.843,4.158,7.533,6.692,9.084,8.204,3.990,3.307,5.476,8.903,4.692,3.345,3.566,4.130,4.224,4.894,7.154,6.990,4.543,4.597,3.405,7.009,3.113,7.315,12.018,6.497,8.045,10.664,3.374,5.650,7.756,3.805,4.195,6.886,8.709,4.107,8.532,3.814,6.247,5.650,4.102,8.045,12.185
