datahora_UTC,Qgr5_0,Qgr5_1,Qgr5_2,Qgr5_3,Qgr5_4,Qgr5_5,Qgr5_6,Qgr5_7,Qgr5_8,Qgr5_9,Qgr5_10,Qgr5_11,Qgr5_12,Qgr5_13,Qgr5_14,Qgr5_15,Qgr5_16,Qgr5_17,Qgr5_18,Qgr5_19,Qgr5_20,Qgr5_21,Qgr5_22,Qgr5_23,Qgr5_24,Qgr5_25,Qgr5_26,Qgr5_27,Qgr5_28,Qgr5_29,Qgr5_30,Qgr5_31,Qgr5_32,Qgr5_33,Qgr5_34,Qgr5_35,Qgr5_36,Qgr5_37,Qgr5_38,Qgr5_39,Qgr5_40,Qgr5_41,Qgr5_42,Qgr5_43,Qgr5_44,Qgr5_45,Qgr5_46,Qgr5_47,Qgr5_48,Qgr5_49,Qgr5_50,Qmed,Q25,Q75,Qobs
2020-06-26 00:00:00+00:00,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,2.918,3.167
2020-06-26 06:00:00+00:00,3.917,4.042,4.036,3.896,3.885,3.874,3.943,3.917,3.982,3.962,3.902,3.893,3.899,4.003,3.917,4.128,3.873,3.917,3.924,3.965,3.944,3.942,3.922,3.913,3.896,4.006,3.903,3.933,3.867,3.971,3.928,3.927,4.011,3.882,3.911,3.904,3.908,3.892,3.908,3.873,4.041,3.923,3.894,3.927,3.902,3.895,3.901,3.916,4.066,4.082,3.932,3.917,3.901,3.944,2.967
2020-06-26 12:00:00+00:00,5.250,5.877,5.846,5.145,5.090,5.034,5.380,5.250,5.576,5.474,5.174,5.129,5.161,5.683,5.248,6.313,5.042,5.250,5.283,5.487,5.387,5.374,5.274,5.231,5.146,5.696,5.181,5.332,5.003,5.521,5.307,5.302,5.722,5.076,5.219,5.186,5.206,5.124,5.207,5.032,5.870,5.279,5.136,5.299,5.177,5.138,5.173,5.247,5.997,6.079,5.327,5.250,5.170,5.387,3.158
2020-06-26 18:00:00+00:00,4.865,6.061,6.006,4.730,4.677,4.434,5.064,4.864,5.622,5.262,4.670,4.648,4.699,5.692,4.840,6.926,4.514,5.068,4.933,5.378,5.264,5.079,4.917,4.919,4.724,5.772,4.753,4.979,4.380,5.333,5.160,4.979,5.986,4.523,4.756,4.809,4.811,4.598,4.787,4.609,6.022,4.939,4.671,5.029,4.772,4.826,4.779,4.809,6.447,6.416,5.042,4.917,4.747,5.262,4.425
2020-06-27 00:00:00+00:00,4.710,5.175,5.555,4.440,5.273,3.956,4.172,4.649,5.538,4.638,4.123,4.192,4.374,5.268,4.358,6.129,4.459,5.345,4.579,5.953,5.719,4.948,4.601,4.834,4.962,5.378,4.519,4.386,4.372,4.663,5.392,4.494,6.536,4.254,4.004,4.920,4.619,4.329,4.599,5.051,5.136,4.863,4.908,4.812,4.806,5.134,4.774,4.221,6.252,5.299,4.882,4.806,4.454,5.175,12.185
2020-06-27 06:00:00+00:00,7.748,6.403,8.142,5.841,9.747,5.082,4.728,7.322,7.956,6.102,5.947,5.478,6.131,7.794,6.071,7.865,7.132,7.498,6.489,12.215,9.960,8.679,6.661,6.850,9.180,7.402,6.805,6.127,7.753,6.264,7.765,5.922,10.761,6.313,4.916,8.151,6.858,6.729,7.387,8.545,6.227,7.970,9.422,6.590,7.854,7.509,7.432,5.689,8.464,6.185,7.384,7.322,6.216,7.865,21.273
2020-06-27 12:00:00+00:00,15.164,11.510,14.351,9.668,17.739,8.233,8.280,13.632,13.433,10.366,11.904,9.782,10.041,13.994,10.697,12.650,13.336,10.454,11.065,24.829,17.642,17.508,12.199,10.904,19.096,12.340,12.257,11.290,15.348,10.641,11.377,10.358,17.100,10.760,8.827,14.702,11.978,12.246,14.265,15.073,10.467,15.106,19.589,10.360,14.180,10.835,12.844,10.180,12.571,10.692,12.597,12.246,10.679,14.265,31.222
2020-06-27 18:00:00+00:00,22.493,17.859,19.346,15.732,23.901,11.996,14.019,19.277,20.013,14.719,19.416,16.823,13.246,19.048,15.059,16.452,19.010,13.979,15.460,30.640,23.239,23.953,20.009,15.261,29.458,17.326,17.273,16.060,21.270,13.519,14.796,16.603,19.585,13.781,13.971,19.975,17.301,16.445,21.142,20.959,15.908,22.156,27.754,14.235,19.498,14.230,17.630,15.371,15.859,15.595,16.793,17.273,15.343,19.975,34.488
2020-06-28 00:00:00+00:00,24.229,18.201,20.976,18.234,25.707,13.841,16.551,20.240,20.779,16.462,21.782,20.348,13.740,19.740,15.534,17.397,18.839,15.046,16.798,27.004,23.534,23.199,25.560,16.234,30.906,18.386,17.089,15.925,21.243,13.100,14.646,19.017,17.234,13.570,15.189,19.919,19.064,16.774,22.472,19.469,19.143,24.735,27.027,14.863,20.201,15.593,18.256,17.970,15.746,15.492,17.879,18.256,16.157,20.779,37.782
2020-06-28 06:00:00+00:00,18.166,13.794,16.051,14.056,19.913,10.647,12.514,15.288,15.764,12.525,16.179,15.480,10.518,14.945,11.798,13.785,14.113,11.626,12.805,20.259,17.884,17.402,19.419,12.390,23.042,14.030,12.751,11.871,15.964,10.014,11.294,14.432,13.267,10.258,11.544,15.111,14.412,12.587,17.153,14.430,14.735,18.799,20.185,11.327,15.243,12.093,13.786,13.618,12.197,11.648,13.652,14.030,12.342,15.764,38.037
