datahora,pme_wrf,pme_0,pme_1,pme_2,pme_3,pme_4,pme_5,pme_6,pme_7,pme_8,pme_9,pme_10,pme_11,pme_12,pme_13,pme_14,pme_15,pme_16,pme_17,pme_18,pme_19,pme_20,pme_21,pme_22,pme_23,pme_24,pme_25,pme_26,pme_27,pme_28,pme_29,pme_30,pme_31,pme_32,pme_33,pme_34,pme_35,pme_36,pme_37,pme_38,pme_39,pme_40,pme_41,pme_42,pme_43,pme_44,pme_45,pme_46,pme_47,pme_48,pme_49,pme_50,etp
2021-03-12T06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021-03-12T12:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.173
2021-03-12T18:00:00+00:00,0.200,0.030,0.200,0.000,0.050,0.000,0.040,0.370,0.000,0.330,0.040,0.020,0.180,0.030,0.020,0.160,0.000,0.000,0.190,0.030,0.050,0.040,0.040,0.000,0.000,0.000,0.000,0.490,0.000,0.010,0.000,0.010,0.010,0.010,0.000,0.040,0.020,0.010,0.300,0.010,0.250,0.000,0.030,0.010,0.090,0.100,0.100,0.010,0.010,0.020,0.010,0.030,2.173
2021-03-13T00:00:00+00:00,0.000,0.000,0.010,0.000,0.020,0.000,0.000,0.050,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.010,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.030,0.000,0.010,0.000,0.010,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000
2021-03-13T06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021-03-13T12:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.010,0.000,0.000,0.000,0.000,2.228
2021-03-13T18:00:00+00:00,0.190,0.040,0.080,0.010,0.190,0.020,0.110,0.240,0.000,0.320,0.120,0.200,0.090,0.040,0.200,0.030,0.030,0.140,0.170,0.170,0.050,0.160,0.040,0.110,0.430,0.050,0.020,0.150,0.080,0.190,0.000,0.110,0.150,0.070,0.030,0.370,0.120,0.150,0.150,0.020,0.290,0.030,0.140,0.070,0.090,0.240,0.110,0.120,0.000,0.060,0.030,0.020,2.228
2021-03-14T00:00:00+00:00,0.080,0.020,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.310,0.000,0.030,0.020,0.000,0.000,0.010,0.000,0.000,0.020,0.000,0.010,0.040,0.010,0.000,0.010,0.020,0.030,0.020,0.000,0.020,0.000,0.000,0.000,0.000,0.010,0.050,0.010,0.000,0.010,0.000,0.020,0.020,0.000,0.020,0.030,0.020,0.040,0.010,0.000,0.000,0.000,0.000,0.000
2021-03-14T06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021-03-14T12:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.826
2021-03-14T18:00:00+00:00,0.010,0.120,0.070,0.190,0.120,0.130,0.140,0.070,0.000,0.090,0.320,0.060,0.010,0.130,0.210,0.090,0.040,0.070,0.060,0.890,0.040,0.420,1.320,0.100,0.080,0.150,0.130,0.050,0.270,0.030,0.030,0.150,0.010,0.020,0.040,0.040,0.130,0.070,1.070,0.210,0.030,0.130,0.020,0.150,0.210,0.730,1.630,0.000,0.050,0.030,0.090,0.030,1.826
2021-03-15T00:00:00+00:00,0.000,0.090,0.480,0.030,0.250,0.000,0.040,0.160,0.000,0.190,0.030,0.000,0.010,0.020,0.210,0.320,0.000,0.000,0.400,0.160,0.030,2.810,0.630,0.010,0.010,0.020,0.010,0.550,0.660,0.110,0.020,0.150,0.020,0.000,0.070,0.090,0.160,0.020,0.530,0.240,0.000,0.000,0.000,0.050,0.300,0.280,2.710,0.150,0.000,0.050,0.580,0.070,0.000
