datahora,pme_wrf,etp
2019-05-28T06:00:00+00:00,0.000,0.000
2019-05-28T12:00:00+00:00,0.000,0.852
2019-05-28T18:00:00+00:00,2.130,0.852
2019-05-29T00:00:00+00:00,7.810,0.000
2019-05-29T06:00:00+00:00,5.160,0.000
2019-05-29T12:00:00+00:00,0.010,0.887
2019-05-29T18:00:00+00:00,3.420,0.887
2019-05-30T00:00:00+00:00,6.670,0.000
2019-05-30T06:00:00+00:00,1.040,0.000
2019-05-30T12:00:00+00:00,8.110,0.802
2019-05-30T18:00:00+00:00,0.490,0.802
2019-05-31T00:00:00+00:00,0.440,0.000
2019-05-31T06:00:00+00:00,0.000,0.000
2019-05-31T12:00:00+00:00,0.000,0.875
2019-05-31T18:00:00+00:00,0.020,0.875
2019-06-01T00:00:00+00:00,0.020,0.000
2019-06-01T06:00:00+00:00,0.000,0.000
2019-06-01T12:00:00+00:00,0.000,0.749
2019-06-01T18:00:00+00:00,0.440,0.749
2019-06-02T00:00:00+00:00,0.020,0.000
2019-06-02T06:00:00+00:00,0.400,0.000
2019-06-02T12:00:00+00:00,0.310,0.703
2019-06-02T18:00:00+00:00,0.000,0.703
2019-06-03T00:00:00+00:00,0.070,0.000
2019-06-03T06:00:00+00:00,0.060,0.000
2019-06-03T12:00:00+00:00,0.230,0.805
2019-06-03T18:00:00+00:00,3.680,0.805
2019-06-04T00:00:00+00:00,1.140,0.000
