datahora,chuva_mm,chuva_wrf,obs_acum,wrf_acum,qsac_bru,qsac_anc,qsac_bru_novo,qsac_anc_novo,qgr5_bru,qgr5_anc
2019-05-23T00:00:00+00:00,0.000,0.000,0.000,0.000,6.929,8.295,6.749,6.652,4.661,4.528
2019-05-23T06:00:00+00:00,0.000,0.000,0.000,0.000,6.910,8.273,6.735,6.638,4.624,4.492
2019-05-23T12:00:00+00:00,1.810,1.810,1.810,1.810,6.936,8.296,6.883,6.784,4.631,4.499
2019-05-23T18:00:00+00:00,2.580,2.580,4.390,4.390,7.239,8.598,7.164,7.061,4.842,4.704
2019-05-24T00:00:00+00:00,15.130,15.130,19.520,19.520,8.199,9.619,8.596,8.472,5.977,5.806
2019-05-24T06:00:00+00:00,23.040,23.040,42.560,42.560,11.655,13.598,12.567,12.387,10.114,9.825
2019-05-24T12:00:00+00:00,0.690,0.690,43.250,43.250,18.953,22.064,14.580,14.372,18.468,17.941
2019-05-24T18:00:00+00:00,0.080,0.080,43.330,43.330,24.367,28.670,14.676,14.466,22.939,22.283
2019-05-25T00:00:00+00:00,0.000,0.000,43.330,43.330,24.552,29.280,14.164,13.961,17.746,17.239
2019-05-25T06:00:00+00:00,0.000,0.000,43.330,43.330,21.197,25.530,13.491,13.297,13.500,13.115
2019-05-25T12:00:00+00:00,0.000,0.000,43.330,43.330,16.951,20.531,12.779,12.595,11.850,11.512
2019-05-25T18:00:00+00:00,0.000,0.000,43.330,43.330,13.318,16.163,12.087,11.914,11.372,11.047
2019-05-26T00:00:00+00:00,0.000,0.000,43.330,43.330,10.730,13.012,11.445,11.281,10.945,10.633
2019-05-26T06:00:00+00:00,0.000,0.000,43.330,43.330,9.079,10.984,10.864,10.708,10.554,10.252
2019-05-26T12:00:00+00:00,0.000,0.000,43.330,43.330,8.094,9.769,10.347,10.199,10.194,9.903
2019-05-26T18:00:00+00:00,0.000,0.000,43.330,43.330,7.537,9.078,9.894,9.752,9.861,9.580
2019-05-27T00:00:00+00:00,0.000,0.000,43.330,43.330,7.199,8.660,9.498,9.362,9.552,9.280
2019-05-27T06:00:00+00:00,0.000,0.000,43.330,43.330,6.964,8.375,9.156,9.025,9.266,9.001
2019-05-27T12:00:00+00:00,0.050,0.050,43.380,43.380,6.918,8.306,8.866,8.739,9.000,8.743
2019-05-27T18:00:00+00:00,0.000,0.000,43.380,43.380,6.907,8.291,8.614,8.491,8.752,8.502
2019-05-28T00:00:00+00:00,0.000,0.000,43.380,43.380,6.896,8.277,8.397,8.277,8.520,8.277
2019-05-28T06:00:00+00:00,0.000,0.000,43.380,43.380,6.880,8.254,8.210,8.093,8.303,8.066
2019-05-28T12:00:00+00:00,0.000,0.000,43.380,43.380,6.860,8.210,8.050,7.935,8.100,7.868
2019-05-28T18:00:00+00:00,4.850,2.130,48.230,45.510,6.892,8.202,8.103,7.987,7.978,7.750
2019-05-29T00:00:00+00:00,4.530,7.810,52.760,53.320,7.391,8.685,8.841,8.714,8.503,8.260
2019-05-29T06:00:00+00:00,1.900,5.160,54.660,58.480,9.097,10.582,9.772,9.632,10.696,10.390
2019-05-29T12:00:00+00:00,0.140,0.010,54.800,58.490,11.438,13.418,10.135,9.990,13.656,13.266
2019-05-29T18:00:00+00:00,0.050,3.420,54.850,61.910,12.653,15.130,10.486,10.336,13.877,13.480
2019-05-30T00:00:00+00:00,0.000,6.670,54.850,68.580,12.974,15.537,11.304,11.142,12.887,12.519
2019-05-30T06:00:00+00:00,0.000,1.040,54.850,69.620,13.844,16.607,11.727,11.559,13.992,13.593
2019-05-30T12:00:00+00:00,0.110,8.110,54.960,77.730,14.730,17.765,12.736,12.554,15.795,15.344
2019-05-30T18:00:00+00:00,0.160,0.490,55.120,78.220,15.944,19.362,13.021,12.835,16.532,16.060
2019-05-31T00:00:00+00:00,1.160,0.440,56.280,78.660,16.355,20.070,12.874,12.690,17.212,16.721
2019-05-31T06:00:00+00:00,0.030,0.000,56.310,78.660,15.260,19.037,12.398,12.221,15.300,14.863
2019-05-31T12:00:00+00:00,0.050,0.000,56.360,78.660,13.284,16.858,11.890,11.720,13.769,13.376
2019-05-31T18:00:00+00:00,0.030,0.020,56.390,78.680,11.247,14.514,11.380,11.217,12.761,12.396
2019-06-01T00:00:00+00:00,6.440,0.020,62.830,78.700,9.599,12.569,10.889,10.733,12.172,11.825
2019-06-01T06:00:00+00:00,4.950,0.000,67.780,78.700,8.461,11.198,10.481,10.331,11.676,11.343
2019-06-01T12:00:00+00:00,2.570,0.000,70.350,78.700,7.763,10.342,10.117,9.972,11.244,10.923
2019-06-01T18:00:00+00:00,3.610,0.440,73.960,79.140,7.344,9.822,9.836,9.695,10.841,10.531
2019-06-02T00:00:00+00:00,3.170,0.020,77.130,79.160,7.142,9.556,9.573,9.436,10.470,10.171
2019-06-02T06:00:00+00:00,0.740,0.400,77.870,79.560,7.080,9.455,9.366,9.232,10.158,9.868
2019-06-02T12:00:00+00:00,9.200,0.310,87.070,79.870,7.053,9.404,9.193,9.061,9.948,9.664
2019-06-02T18:00:00+00:00,2.660,0.000,89.730,79.870,7.090,9.426,9.017,8.888,9.761,9.483
2019-06-03T00:00:00+00:00,14.510,0.070,104.240,79.940,7.083,9.409,8.857,8.730,9.436,9.167
2019-06-03T06:00:00+00:00,17.310,0.060,121.550,80.000,7.029,9.347,8.715,8.590,9.141,8.880
2019-06-03T12:00:00+00:00,0.140,0.230,121.690,80.230,6.966,9.276,8.606,8.482,8.911,8.657
2019-06-03T18:00:00+00:00,0.030,3.680,121.720,83.910,7.018,9.321,8.825,8.698,8.858,8.605
2019-06-04T00:00:00+00:00,0.000,1.140,121.720,85.050,7.536,9.836,8.967,8.839,9.370,9.102
