data,chuva_mm
2014-08-24,0.00
2014-08-25,3.80
2014-08-26,1.20
2014-08-27,0.00
2014-08-28,0.00
2014-08-29,0.00
2014-08-30,0.00
2014-08-31,29.40
2014-09-01,13.80
2014-09-02,0.20
2014-09-03,20.60
2014-09-04,0.00
2014-09-05,0.00
2014-09-06,0.00
2014-09-07,13.80
2014-09-08,0.00
2014-09-09,0.00
2014-09-10,0.00
2014-09-11,0.00
2014-09-12,0.00
2014-09-13,0.00
2014-09-14,0.00
2014-09-15,0.20
2014-09-16,0.00
2014-09-17,0.00
2014-09-18,2.00
2014-09-19,9.60
2014-09-20,55.20
2014-09-21,0.20
2014-09-22,0.00
2014-09-23,0.00
2014-09-24,28.60
2014-09-25,8.80
2014-09-26,32.20
2014-09-27,12.80
2014-09-28,5.80
2014-09-29,23.20
2014-09-30,12.00
2014-10-01,40.00
2014-10-02,0.00
2014-10-03,0.00
2014-10-04,0.00
2014-10-05,0.00
2014-10-06,0.00
2014-10-07,0.00
2014-10-08,0.00
2014-10-09,0.00
2014-10-10,0.00
2014-10-11,0.00
2014-10-12,0.00
2014-10-13,0.20
2014-10-14,1.20
2014-10-15,0.00
2014-10-16,0.00
2014-10-17,0.00
2014-10-18,0.00
2014-10-19,3.60
2014-10-20,0.20
2014-10-21,0.00
2014-10-22,0.00
2014-10-23,0.00
2014-10-24,0.00
2014-10-25,0.80
2014-10-26,0.00
2014-10-27,0.00
2014-10-28,0.00
2014-10-29,0.00
2014-10-30,0.00
2014-10-31,0.00
2014-11-01,0.00
2014-11-02,0.00
2014-11-03,0.00
2014-11-04,0.00
2014-11-05,0.00
2014-11-06,0.00
2014-11-07,20.00
2014-11-08,2.80
2014-11-09,0.20
2014-11-10,0.00
2014-11-11,0.00
2014-11-12,0.00
2014-11-13,0.00
2014-11-14,5.80
2014-11-15,0.20
2014-11-16,0.00
2014-11-17,0.00
2014-11-18,0.00
2014-11-19,23.80
2014-11-20,10.80
2014-11-21,0.00
2014-11-22,47.60
2014-11-23,0.00
2014-11-24,13.60
2014-11-25,3.80
2014-11-26,0.20
2014-11-27,0.00
2014-11-28,0.00
2014-11-29,0.00
2014-11-30,0.00
2014-12-01,0.00
2014-12-02,8.40
2014-12-03,2.20
2014-12-04,11.60
2014-12-05,0.00
2014-12-06,0.00
2014-12-07,0.00
2014-12-08,12.60
2014-12-09,14.00
2014-12-10,6.00
2014-12-11,0.00
2014-12-12,0.00
2014-12-13,59.80
2014-12-14,0.00
2014-12-15,0.00
2014-12-16,0.00
2014-12-17,0.00
2014-12-18,0.00
2014-12-19,12.20
2014-12-20,10.80
2014-12-21,19.00
2014-12-22,42.00
2014-12-23,7.60
2014-12-24,3.00
2014-12-25,7.00
2014-12-26,2.40
2014-12-27,0.20
2014-12-28,1.00
2014-12-29,7.40
2014-12-30,0.00
2014-12-31,12.80
2015-01-01,7.60
2015-01-02,0.80
2015-01-03,0.00
2015-01-04,30.60
2015-01-05,0.20
2015-01-06,4.00
2015-01-07,0.00
2015-01-08,0.00
2015-01-09,0.20
2015-01-10,6.80
2015-01-11,0.00
2015-01-12,0.00
2015-01-13,0.00
2015-01-14,3.40
2015-01-15,0.00
2015-01-16,0.00
2015-01-17,0.00
2015-01-18,0.00
2015-01-19,0.00
2015-01-20,0.20
2015-01-21,0.00
2015-01-22,0.00
2015-01-23,0.20
2015-01-24,9.80
2015-01-25,1.00
2015-01-26,0.20
2015-01-27,0.00
2015-01-28,37.60
2015-01-29,18.40
2015-01-30,0.40
2015-01-31,3.20
2015-02-01,2.40
2015-02-02,6.00
2015-02-03,0.00
2015-02-04,3.40
2015-02-05,32.80
2015-02-06,0.00
2015-02-07,0.00
2015-02-08,0.00
2015-02-09,0.00
2015-02-10,12.80
2015-02-11,0.00
2015-02-12,0.00
2015-02-13,16.80
2015-02-14,3.60
2015-02-15,21.60
2015-02-16,2.20
2015-02-17,14.40
2015-02-18,7.20
2015-02-19,34.80
2015-02-20,5.40
2015-02-21,0.20
2015-02-22,0.00
2015-02-23,0.00
2015-02-24,1.00
2015-02-25,0.00
2015-02-26,0.80
2015-02-27,0.40
2015-02-28,0.20
2015-03-01,0.00
2015-03-02,0.00
2015-03-03,0.00
2015-03-04,0.00
2015-03-05,10.80
2015-03-06,1.40
2015-03-07,17.20
2015-03-08,1.00
2015-03-09,42.20
2015-03-10,1.20
2015-03-11,2.60
2015-03-12,5.20
2015-03-13,0.00
2015-03-14,22.40
2015-03-15,0.00
2015-03-16,0.00
2015-03-17,0.20
2015-03-18,0.00
2015-03-19,0.00
2015-03-20,6.20
2015-03-21,8.00
2015-03-22,1.20
2015-03-23,0.00
2015-03-24,0.00
2015-03-25,0.00
2015-03-26,0.00
2015-03-27,0.60
2015-03-28,12.20
2015-03-29,4.40
2015-03-30,7.00
2015-03-31,0.00
2015-04-01,0.00
2015-04-02,0.00
2015-04-03,0.00
2015-04-04,0.00
2015-04-05,6.20
2015-04-06,0.20
2015-04-07,0.00
2015-04-08,0.00
2015-04-09,0.00
2015-04-10,0.00
2015-04-11,0.00
2015-04-12,0.00
2015-04-13,0.00
2015-04-14,0.00
2015-04-15,1.20
2015-04-16,3.80
2015-04-17,0.00
