Parametros,Par_LOG,Par_DRMS,Par_MACS
UZTWM,61.99956384220993,18.518117638890317,18.518117638890317
UZFWM,39.30253183212419,19.77477540956932,19.77477540956932
LZTWM,48.59170413809008,48.59170413809008,69.05754116020738
LZFPM,982.4050327325212,982.4050327325212,999.0259856045759
LZFSM,9.779886080205786,9.779886080205786,39.67126611605735
UZK,0.11099734395901817,0.7476373489542656,0.7476373489542656
LZPK,0.008373112384428763,0.008373112384428763,0.009404233002608307
LZSK,0.34811983685871856,0.34811983685871856,0.34925508691684387
ADIMP,0.0548569133354919,0.10774647342340975,0.10774647342340975
PCTIM,0.05128296093860441,0.035497361092369326,0.017723942031810273
ZPERC,333.7181531726262,251.30394906765906,251.30394906765906
REXP,1.0279516982078025,4.954717002047003,4.954717002047003
PFREE,0.6776793861969376,0.6776793861969376,0.43304043182267876
NUH,0.8260774140472436,1.433109630387269,1.315201451096659
KUH,2.372851828495608,1.0013564431774344,1.025271080746349
NMSK,,,
KMSK,,,
XMSK,,,
