Parametros,Par_LOG,Par_DRMS,Par_MACS
UZTWM,10.941473070769762,11.574254020980353,11.574254020980353
UZFWM,144.88918533823446,10.17271826872164,10.17271826872164
LZTWM,103.90108625013345,103.90108625013345,64.10395456545334
LZFPM,996.3198619618536,996.3198619618536,999.0147360094662
LZFSM,172.00303794830242,172.00303794830242,177.65077915455115
UZK,0.7499744741776104,0.10090093881924027,0.10090093881924027
LZPK,0.007825371785125084,0.007825371785125084,0.007754257566362666
LZSK,0.34943517684287967,0.34943517684287967,0.34940754713176586
ADIMP,0.0014872200690104068,0.0022427882447905996,0.0022427882447905996
PCTIM,0.024664272452862516,0.05519535709618833,0.003417321334051083
ZPERC,259.62059272416894,5.378791216595265,5.378791216595265
REXP,4.187803806575686,4.978020014479687,4.978020014479687
PFREE,0.3340567233957755,0.3340567233957755,0.27930951268887183
NUH,3.9970037130304394,1.643894361851776,3.9839922979310325
KUH,5.9772210085154684,1.0024948176741952,5.998048893860528
NMSK,,,
KMSK,,,
XMSK,,,
