Parametros,Par_LOG,Par_DRMS,Par_MACS
UZTWM,81.95101036506883,79.47965130739138,79.47965130739138
UZFWM,20.197398249354375,77.76223889270507,77.76223889270507
LZTWM,112.7489270531385,112.7489270531385,101.0299424335357
LZFPM,999.1847693826155,999.1847693826155,741.5569562314531
LZFSM,33.8176497577864,33.8176497577864,47.96964595852134
UZK,0.6777303730752378,0.7497514844240545,0.7497514844240545
LZPK,0.007911440919302336,0.007911440919302336,0.006745800531414058
LZSK,0.34820908315957255,0.34820908315957255,0.04362342928062481
ADIMP,0.013377748127124351,0.035284075340619656,0.035284075340619656
PCTIM,0.05308802409140659,0.06289113248258738,0.04915899835986992
ZPERC,195.55203784804715,334.4583756947754,334.4583756947754
REXP,4.522141621976349,3.0068319160699897,3.0068319160699897
PFREE,0.6931970112676691,0.6931970112676691,0.6839089360049001
NUH,0.988267547696753,1.2323689255920296,1.2101041353099775
KUH,2.2571243350247645,1.504218272436726,1.4336981471742674
NMSK,,,
KMSK,,,
XMSK,,,
