datahora,pme_wrf,pme_0,pme_1,pme_2,pme_3,pme_4,pme_5,pme_6,pme_7,pme_8,pme_9,pme_10,pme_11,pme_12,pme_13,pme_14,pme_15,pme_16,pme_17,pme_18,pme_19,pme_20,pme_21,pme_22,pme_23,pme_24,pme_25,pme_26,pme_27,pme_28,pme_29,pme_30,pme_31,pme_32,pme_33,pme_34,pme_35,pme_36,pme_37,pme_38,pme_39,pme_40,pme_41,pme_42,pme_43,pme_44,pme_45,pme_46,pme_47,pme_48,pme_49,pme_50,etp
2021-03-05T06:00:00+00:00,0.620,18.250,15.600,5.100,8.660,10.930,16.260,14.640,10.340,17.660,12.950,6.760,12.220,5.670,11.890,12.680,7.120,7.410,8.300,9.530,5.770,21.380,9.920,20.500,9.040,15.620,12.610,5.990,10.230,4.440,7.060,7.040,6.710,22.060,9.500,4.570,16.720,20.770,9.640,3.990,10.810,17.650,8.350,6.910,11.290,22.770,9.230,5.760,16.580,12.390,9.120,12.740,0.000
2021-03-05T12:00:00+00:00,20.580,12.110,16.620,9.290,11.730,8.140,19.110,16.210,7.930,7.320,13.340,13.110,23.100,13.080,6.670,7.330,6.510,20.420,12.610,11.120,7.460,9.040,22.840,18.320,9.430,8.020,12.740,11.540,10.240,18.040,4.510,9.840,8.970,27.260,10.760,8.480,11.210,27.710,13.060,8.570,9.630,7.020,6.780,7.910,10.870,12.970,9.430,12.030,16.330,14.290,12.030,12.390,1.925
2021-03-05T18:00:00+00:00,10.310,7.540,7.410,13.830,14.280,11.840,19.280,6.090,7.560,8.920,10.930,10.530,4.620,10.970,19.780,10.390,8.820,8.710,5.830,11.970,9.510,7.630,14.880,12.580,11.540,7.500,8.640,8.930,6.760,12.080,8.870,4.940,5.970,15.090,5.390,10.540,9.390,8.310,5.340,6.420,6.760,10.900,7.320,12.750,4.920,15.570,13.950,13.300,8.350,9.460,6.430,3.950,1.925
2021-03-06T00:00:00+00:00,0.830,3.820,1.370,5.110,2.310,4.990,9.900,2.220,2.050,5.180,4.730,5.310,4.500,2.930,11.630,1.600,3.480,2.900,12.790,0.950,5.100,4.920,6.030,6.570,2.310,4.220,5.400,4.160,1.730,5.370,6.410,7.730,2.830,4.750,4.750,4.200,4.110,6.010,4.430,2.670,4.550,11.100,5.500,6.750,2.970,6.090,6.290,5.060,7.520,2.020,1.090,3.850,0.000
2021-03-06T06:00:00+00:00,1.770,0.050,1.810,1.010,0.020,0.070,1.210,1.210,2.490,3.590,0.760,0.540,0.510,1.370,1.830,2.430,0.090,0.620,1.690,0.260,0.390,0.240,1.130,1.500,1.070,0.190,0.280,0.550,0.110,1.200,3.660,3.240,0.060,1.040,1.360,0.230,0.380,0.420,0.400,0.000,2.510,0.340,0.840,0.060,0.180,0.120,0.120,0.060,0.520,1.680,0.980,3.080,0.000
2021-03-06T12:00:00+00:00,1.460,0.480,0.540,1.010,0.720,0.470,0.600,0.500,0.440,1.930,1.140,0.990,0.850,0.750,0.880,0.920,0.400,1.260,4.360,1.820,1.100,0.670,0.360,0.500,0.580,0.480,0.500,0.890,0.770,0.860,1.330,0.590,0.820,0.670,0.480,0.660,0.460,0.350,0.470,0.860,0.360,0.290,1.530,0.470,0.190,0.790,0.920,0.820,0.830,2.280,0.570,1.670,2.179
2021-03-06T18:00:00+00:00,4.920,1.800,1.850,1.760,2.140,5.300,1.460,1.110,9.680,3.370,1.790,3.290,2.590,0.970,2.230,3.480,4.830,1.620,1.780,1.160,0.900,2.890,2.080,1.320,1.320,1.260,2.460,1.960,2.320,4.770,3.220,4.400,0.770,0.940,1.870,1.680,3.740,1.390,1.150,1.500,2.150,1.730,6.220,2.150,1.160,1.060,5.230,1.980,1.430,0.810,4.520,6.370,2.179
2021-03-07T00:00:00+00:00,4.300,3.650,1.840,1.350,0.750,4.970,1.500,0.240,2.120,2.660,0.310,4.160,1.000,0.860,1.560,1.850,0.690,1.210,2.060,0.750,1.090,3.260,4.150,2.020,0.700,3.740,1.620,2.040,0.630,2.760,1.030,3.290,0.820,2.050,1.170,0.980,2.550,1.570,0.840,2.060,2.080,0.280,4.150,2.180,0.760,2.440,1.690,1.950,5.150,1.290,4.450,1.130,0.000
2021-03-07T06:00:00+00:00,0.530,1.150,2.850,0.020,0.770,1.940,0.360,0.320,0.760,3.220,0.280,0.140,0.060,0.490,0.000,0.270,0.250,0.050,5.750,0.110,0.050,0.390,0.230,0.080,0.500,0.420,2.920,0.230,0.110,0.620,0.300,0.450,0.200,1.000,0.580,0.450,0.940,0.790,0.750,0.310,0.280,0.150,0.590,0.420,0.160,0.040,0.860,0.030,0.350,0.430,0.650,0.240,0.000
2021-03-07T12:00:00+00:00,0.320,0.230,0.160,0.010,0.250,0.410,0.100,0.410,0.190,0.360,1.250,0.070,0.330,0.340,0.160,0.420,0.510,0.120,0.500,0.300,0.330,0.230,0.210,0.020,0.210,0.290,0.470,0.340,0.480,0.040,0.150,0.630,0.160,0.120,0.200,0.060,1.430,0.250,0.170,0.190,0.190,0.130,0.120,1.030,0.120,0.020,0.160,0.060,0.180,0.260,1.110,0.120,1.791
