datahora,chuva_mm,chuva_wrf,obs_acum,wrf_acum,qsac_bru,qsac_anc,qsac_bru_novo,qsac_anc_novo,qgr5_bru,qgr5_anc
2019-05-20T00:00:00+00:00,0.000,0.000,0.000,0.000,7.134,5.290,6.906,8.174,5.203,5.337
2019-05-20T06:00:00+00:00,0.000,0.000,0.000,0.000,7.117,5.276,6.892,8.156,5.149,5.282
2019-05-20T12:00:00+00:00,0.000,0.000,0.000,0.000,7.099,5.263,6.878,8.139,5.097,5.229
2019-05-20T18:00:00+00:00,0.000,0.000,0.000,0.000,7.081,5.250,6.864,8.121,5.047,5.177
2019-05-21T00:00:00+00:00,0.000,0.000,0.000,0.000,7.063,5.237,6.851,8.104,4.998,5.127
2019-05-21T06:00:00+00:00,0.000,0.000,0.000,0.000,7.045,5.224,6.837,8.087,4.950,5.078
2019-05-21T12:00:00+00:00,0.050,0.050,0.050,0.050,7.029,5.212,6.828,8.075,4.905,5.032
2019-05-21T18:00:00+00:00,0.000,0.000,0.050,0.050,7.019,5.204,6.816,8.060,4.861,4.987
2019-05-22T00:00:00+00:00,0.000,0.000,0.050,0.050,7.007,5.195,6.803,8.043,4.819,4.943
2019-05-22T06:00:00+00:00,0.000,0.000,0.050,0.050,6.991,5.183,6.789,8.026,4.777,4.900
2019-05-22T12:00:00+00:00,0.000,0.000,0.050,0.050,6.970,5.168,6.775,8.009,4.737,4.860
2019-05-22T18:00:00+00:00,0.000,0.000,0.050,0.050,6.949,5.152,6.761,7.992,4.698,4.820
2019-05-23T00:00:00+00:00,0.000,0.000,0.050,0.050,6.929,5.137,6.748,7.974,4.660,4.781
2019-05-23T06:00:00+00:00,0.000,0.000,0.050,0.050,6.909,5.123,6.734,7.957,4.624,4.743
2019-05-23T12:00:00+00:00,1.810,1.810,1.860,1.860,6.935,5.142,6.882,8.103,4.631,4.751
2019-05-23T18:00:00+00:00,2.580,2.580,4.440,4.440,7.239,5.367,7.163,8.381,4.842,4.967
2019-05-24T00:00:00+00:00,15.130,15.130,19.570,19.570,8.199,6.079,8.595,9.910,5.976,6.131
2019-05-24T06:00:00+00:00,23.040,23.040,42.610,42.610,11.655,8.641,12.566,15.845,10.113,10.374
2019-05-24T12:00:00+00:00,0.690,0.690,43.300,43.300,18.953,14.052,14.579,18.691,18.467,18.944
2019-05-24T18:00:00+00:00,0.080,0.080,43.380,43.380,24.366,18.066,14.675,18.880,22.937,23.530
2019-05-25T00:00:00+00:00,0.000,0.000,43.380,43.380,24.552,18.203,14.163,18.203,17.744,18.203
2019-05-25T06:00:00+00:00,0.000,0.020,43.380,43.400,21.196,15.716,13.491,17.281,13.500,13.849
