datahora,pme_wrf,pme_0,pme_1,pme_2,pme_3,pme_4,pme_5,pme_6,pme_7,pme_8,pme_9,pme_10,pme_11,pme_12,pme_13,pme_14,pme_15,pme_16,pme_17,pme_18,pme_19,pme_20,pme_21,pme_22,pme_23,pme_24,pme_25,pme_26,pme_27,pme_28,pme_29,pme_30,pme_31,pme_32,pme_33,pme_34,pme_35,pme_36,pme_37,pme_38,pme_39,pme_40,pme_41,pme_42,pme_43,pme_44,pme_45,pme_46,pme_47,pme_48,pme_49,pme_50,etp
2021-05-21T06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021-05-21T12:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.980
2021-05-21T18:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.980
2021-05-22T00:00:00+00:00,0.000,0.000,0.000,0.010,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021-05-22T06:00:00+00:00,1.250,1.440,0.330,5.510,0.240,2.240,1.530,2.960,0.040,0.910,1.960,0.260,1.280,0.290,0.050,3.740,0.850,0.210,1.450,2.840,1.970,2.660,1.070,1.440,2.210,2.740,0.030,0.740,0.970,1.560,1.610,0.230,1.860,0.920,1.050,0.930,4.330,3.170,0.690,2.000,3.350,0.210,0.160,0.820,2.920,6.290,0.480,0.250,1.050,0.220,3.760,0.450,0.000
2021-05-22T12:00:00+00:00,3.320,14.270,6.080,5.530,4.270,4.600,11.550,1.320,8.870,8.420,11.570,11.420,9.270,8.020,10.020,8.440,4.540,5.750,1.190,9.610,2.750,3.770,8.800,2.070,6.840,0.870,7.420,6.890,6.480,6.700,11.030,7.660,8.350,6.950,4.430,2.680,4.650,5.480,8.540,4.520,12.620,12.410,4.550,9.210,5.810,4.040,9.440,7.910,6.610,9.410,3.860,9.160,0.955
2021-05-22T18:00:00+00:00,3.790,2.340,1.220,1.260,2.970,0.500,1.450,0.800,13.820,1.430,3.310,0.770,0.910,6.240,0.650,2.180,1.500,0.900,1.010,1.610,0.350,0.820,3.320,0.930,1.050,0.840,3.150,2.520,6.270,1.010,1.550,1.180,1.880,2.110,1.820,0.550,0.600,0.750,1.360,0.760,2.500,3.170,0.250,0.670,1.390,0.800,1.090,1.500,1.140,2.290,2.440,1.340,0.955
2021-05-23T00:00:00+00:00,2.130,4.060,1.740,0.940,3.440,0.310,4.510,1.140,2.630,1.520,0.770,4.370,1.600,3.580,1.880,6.960,0.750,3.860,1.940,1.990,1.120,2.850,2.430,2.170,1.070,2.540,2.970,0.860,2.190,0.970,2.880,1.520,3.870,6.530,1.360,0.790,2.890,3.630,3.570,0.270,0.850,2.450,1.930,1.680,2.030,2.400,1.840,2.910,1.390,2.550,3.700,1.840,0.000
2021-05-23T06:00:00+00:00,0.350,5.870,2.950,0.620,3.470,0.870,5.100,2.700,1.290,4.650,3.140,0.860,6.840,2.820,3.950,8.980,3.540,1.110,4.000,0.420,9.510,1.430,6.810,2.540,1.140,1.510,1.010,2.120,0.950,13.700,2.030,3.960,1.870,0.650,10.360,1.450,5.000,0.180,2.520,0.840,7.440,6.680,1.050,0.180,1.760,2.290,0.210,2.230,7.660,10.920,5.220,5.100,0.000
2021-05-23T12:00:00+00:00,0.010,4.130,0.000,1.720,2.030,0.890,6.720,0.680,0.170,3.550,7.680,2.500,6.200,0.010,0.390,0.400,7.070,0.320,0.000,11.020,4.820,0.750,0.030,3.300,4.680,5.970,0.510,6.040,0.000,1.850,0.000,2.470,0.730,0.020,14.390,14.240,1.030,1.240,0.280,2.900,10.780,5.570,0.340,1.350,4.250,3.660,0.190,0.200,3.120,0.710,1.190,0.110,0.818
