datahora,Qgr5_0,Qgr5_1,Qgr5_2,Qgr5_3,Qgr5_4,Qgr5_5,Qgr5_6,Qgr5_7,Qgr5_8,Qgr5_9,Qgr5_10,Qgr5_11,Qgr5_12,Qgr5_13,Qgr5_14,Qgr5_15,Qgr5_16,Qgr5_17,Qgr5_18,Qgr5_19,Qgr5_20,Qgr5_21,Qgr5_22,Qgr5_23,Qgr5_24,Qgr5_25,Qgr5_26,Qgr5_27,Qgr5_28,Qgr5_29,Qgr5_30,Qgr5_31,Qgr5_32,Qgr5_33,Qgr5_34,Qgr5_35,Qgr5_36,Qgr5_37,Qgr5_38,Qgr5_39,Qgr5_40,Qgr5_41,Qgr5_42,Qgr5_43,Qgr5_44,Qgr5_45,Qgr5_46,Qgr5_47,Qgr5_48,Qgr5_49,Qgr5_50,Qmed,Q25,Q75,Qmax,Qmin,Qgr5_wrf
2021-05-21T00:00:00+00:00,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970,3.970
2021-05-21T06:00:00+00:00,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937,3.937
2021-05-21T12:00:00+00:00,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931,3.931
2021-05-21T18:00:00+00:00,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881
2021-05-22T00:00:00+00:00,3.828,3.828,3.829,3.828,3.828,3.829,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.828,3.829,3.828,3.828
2021-05-22T06:00:00+00:00,3.840,3.802,3.984,3.799,3.868,3.845,3.893,3.792,3.822,3.859,3.800,3.835,3.801,3.792,3.921,3.820,3.798,3.841,3.889,3.859,3.883,3.828,3.840,3.867,3.886,3.792,3.816,3.824,3.845,3.846,3.799,3.855,3.822,3.827,3.823,3.941,3.901,3.814,3.860,3.907,3.798,3.796,3.819,3.892,4.010,3.807,3.799,3.827,3.798,3.921,3.806,3.828,3.805,3.867,4.010,3.792,3.834
2021-05-22T12:00:00+00:00,4.478,3.997,4.874,3.918,4.270,4.399,4.279,4.045,4.178,4.470,4.173,4.271,4.058,4.088,4.666,4.031,3.965,4.016,4.552,4.159,4.313,4.219,4.045,4.345,4.228,3.993,4.095,4.120,4.228,4.391,4.035,4.338,4.128,4.061,3.980,4.633,4.462,4.144,4.227,4.749,4.200,3.914,4.190,4.430,4.953,4.140,4.047,4.138,4.095,4.506,4.125,4.178,4.060,4.345,4.953,3.914,4.056
2021-05-22T18:00:00+00:00,6.614,4.728,6.379,4.448,5.092,6.115,4.758,5.583,5.340,6.333,5.639,5.598,5.236,5.319,6.331,4.642,4.622,4.244,6.214,4.680,5.086,5.530,4.390,5.481,4.623,4.932,5.052,5.192,5.237,6.049,4.970,5.663,5.108,4.700,4.328,5.802,5.559,5.285,4.998,6.980,5.882,4.399,5.433,5.549,6.363,5.364,5.032,5.056,5.316,5.523,5.314,5.314,4.961,5.598,6.980,4.244,4.643
2021-05-23T00:00:00+00:00,9.061,5.574,6.664,5.315,5.443,7.935,4.553,8.870,6.547,8.268,7.451,6.854,7.214,6.810,7.637,5.198,5.463,4.195,7.518,4.789,5.358,7.104,4.478,6.244,4.431,6.346,6.151,6.802,6.022,7.724,6.070,6.937,6.352,5.287,4.509,6.072,6.094,6.597,5.356,8.883,8.138,4.982,6.718,6.165,6.339,6.742,6.269,5.903,6.912,5.957,6.683,6.339,5.458,6.912,9.061,4.195,5.340
2021-05-23T06:00:00+00:00,8.735,5.429,5.831,5.890,4.914,7.716,4.435,10.874,6.196,7.672,7.096,6.401,8.035,6.348,8.143,5.066,5.554,4.409,6.796,4.885,5.243,7.245,4.585,5.643,4.520,6.540,5.946,7.403,5.951,7.187,5.791,6.817,6.839,5.534,4.384,5.845,5.839,6.468,4.854,8.087,8.023,4.909,6.079,5.803,5.790,6.165,6.157,5.748,7.084,6.237,6.361,6.079,5.549,6.839,10.874,4.384,5.728
